,报表日期,20190930,20190630,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,
1,流动资产,,,,,,
2,货币资金,0,169157905.95,252689999.28,102667189.13,76749357.03,0.0
3,交易性金融资产,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0.0
5,应收票据及应收账款,0,279222258.90,278121550.49,129667709.33,47375785.12,0.0
6,应收票据,0,18700000.00,23538800.00,0,3460000.00,0.0
7,应收账款,0,260522258.90,254582750.49,129667709.33,43915785.12,0.0
8,应收款项融资,0,0,0,0,0,0.0
9,预付款项,0,16321514.47,5200060.96,5029069.99,9046781.28,0.0
10,其他应收款(合计),0,16055017.63,17322885.74,10891090.50,7163589.96,0.0
11,应收利息,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0.0
13,其他应收款,0,16055017.63,17322885.74,10891090.50,7163589.96,0.0
14,买入返售金融资产,0,0,0,0,0,0.0
15,存货,0,295576257.53,151761106.66,70197967.64,32421808.39,0.0
16,划分为持有待售的资产,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,384094.50,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0.0
20,其他流动资产,0,4061149.75,6321343.21,1670537.45,1322767.91,0.0
21,流动资产合计,0,780778198.73,711416946.34,320123564.04,174080089.69,0.0
22,非流动资产,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,300000.00,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0.0
26,长期应收款,0,28831702.37,27911386.19,0,0,0.0
27,长期股权投资,0,26590931.45,26590931.45,22110931.45,0,0.0
28,投资性房地产,0,0,0,0,0,0.0
29,在建工程(合计),0,18554199.42,27510097.92,23423464.07,6735441.10,0.0
30,在建工程,0,0,0,0,0,0.0
31,工程物资,0,0,0,0,0,0.0
32,固定资产及清理(合计),0,73924921.65,57535103.64,10434337.26,1194479.01,0.0
33,固定资产净额,0,73924921.65,57535103.64,10434337.26,1194479.01,0.0
34,固定资产清理,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0.0
39,无形资产,0,13564039.20,13565353.99,13876665.31,36855016.61,0.0
40,开发支出,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0.0
42,长期待摊费用,0,14648105.58,15447093.12,0,0,0.0
43,递延所得税资产,0,4551550.86,4149619.70,2489801.63,2007459.84,0.0
44,其他非流动资产,0,3154809.59,1409271.59,1507176.77,0,0.0
45,非流动资产合计,0,184120260.12,174418857.60,73842376.49,46792396.56,0.0
46,资产总计,1050479600.00,964898458.85,885835800.00,393965940.53,220872486.25,0.0
47,流动负债,,,,,,
48,短期借款,0,56479674.12,65184436.14,0,0,0.0
49,交易性金融负债,0,0,0,0,0,0.0
50,应付票据及应付账款,0,263608732.81,172442362.12,73663423.84,35667099.32,0.0
51,应付票据,0,37075804.30,9584413.94,3491440.00,12424870.00,0.0
52,应付账款,0,226532928.51,162857948.18,70171983.84,23242229.32,0.0
53,预收款项,0,35631724.89,117152852.77,30559572.03,45108018.47,0.0
54,应付手续费及佣金,0,0,0,0,0,0.0
55,应付职工薪酬,0,10952229.17,14357399.75,8085729.93,4863454.19,0.0
56,应交税费,0,17974235.35,15397457.63,29617879.27,8200109.25,0.0
57,其他应付款(合计),0,9505767.91,9625964.40,199024.24,1934575.67,0.0
58,应付利息,0,136945.17,151354.87,0,12100.00,0.0
59,应付股利,0,0,0,0,0,0.0
60,其他应付款,0,9368822.74,9474609.53,199024.24,1922475.67,0.0
61,预提费用,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,10698350.00,0,0,0,0.0
65,其他流动负债,0,21101961.99,21271573.49,5861699.62,1688860.99,0.0
66,流动负债合计,0,425952676.24,415432046.30,147987328.93,97462117.89,0.0
67,非流动负债,,,,,,
68,长期借款,0,29437162.36,26128519.82,0,0,0.0
69,应付债券,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0.0
72,长期应付款(合计),0,9302768.63,0,0,33000000.00,0.0
73,长期应付款,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0.0
75,预计非流动负债,0,4480276.03,3819396.06,3685075.68,1833226.02,0.0
76,递延所得税负债,0,0,0,0,0,0.0
77,长期递延收益,0,7220000.00,7130000.00,6800000.00,1040000.00,0.0
78,其他非流动负债,0,0,0,0,0,0.0
79,非流动负债合计,0,50440207.02,37077915.88,10485075.68,35873226.02,0.0
80,负债合计,523091300.00,476392883.26,452510000.00,158472404.61,133335343.91,0.0
81,所有者权益,,,,,,
82,实收资本(或股本),0,63748383.00,63748383.00,57373545.00,52000000.00,0.0
83,资本公积,0,214714024.68,214714024.68,101088862.68,27351903.88,0.0
84,减：库存股,0,0,0,0,0,0.0
85,其他综合收益,0,0,0,0,0,0.0
86,专项储备,0,0,0,0,0,0.0
87,盈余公积,0,14330395.93,14330395.93,6502348.40,919959.91,0.0
88,一般风险准备,0,0,0,0,0,0.0
89,未分配利润,0,195712771.98,140533038.15,70528779.84,6356990.23,0.0
90,归属于母公司股东权益合计,527388300.00,488505575.59,433325800.00,235493535.92,86628854.02,0.0
91,少数股东权益,0,0,0,0,908288.32,0.0
92,所有者权益(或股东权益)合计,527388300.00,488505575.59,433325800.00,235493535.92,87537142.34,0.0
93,负债和所有者权益(或股东权益)总计,1050479600.00,964898458.85,885835803.94,393965940.53,220872486.25,0.0
