,报表日期,20190930,20190630,20190331,20181231,20171231,20170630,20161231,20151231,20141231,20131231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,
2,货币资金,282096781.66,205353156.68,0,143297590.35,125398689.92,92396050.20,59725547.03,60827382.57,5598269.30,8390303.82,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,191464611.25,189892264.74,0,161217665.73,160618509.02,132541948.71,128859594.68,0,0,0,0.0
6,应收票据,52010690.56,63418369.87,0,50026841.60,55259169.01,31888870.08,35633226.83,6783430.98,8677249.09,9647755.26,0.0
7,应收账款,139453920.69,126473894.87,0,111190824.13,105359340.01,100653078.63,93730754.49,81935998.33,45791814.43,30875466.68,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,16277284.25,3140350.08,0,365864.20,472582.65,469092.67,903751.87,1100282.37,1204639.14,136239.65,0.0
10,其他应收款(合计),1998069.01,1250033.56,0,837354.51,661298.06,571131.80,705574.87,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,0,0,0,0,571131.80,705574.87,1490473.29,51099299.95,3020964.90,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,15897512.11,15630806.44,0,17887663.67,12991603.09,7693392.56,6520190.66,4040637.31,5222880.06,3594439.96,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,938000000.00,1354716.97,0,38289276.25,0,93626.24,296424.80,509655.62,5000000.00,0,0.0
21,流动资产合计,1445734258.28,416621328.47,0,361895414.71,300142682.74,233765242.18,197011083.91,156687860.47,122594151.97,55665170.27,0.0
22,非流动资产,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),4584789.07,4248505.89,0,3451296.98,1017770.52,2190884.67,358277.78,0,0,0,0.0
30,在建工程,0,0,0,0,0,2190884.67,358277.78,671673.66,979683.78,132674.58,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),51042688.80,51840110.26,0,46617904.41,40976997.37,39753569.19,38196088.60,0,0,0,0.0
33,固定资产净额,0,0,0,46617904.41,40976997.37,39753569.19,38196088.60,27935992.43,14379902.64,15473711.89,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,1582813.36,1547766.31,0,1853958.27,2401869.32,2708619.38,3015369.44,3510277.44,4086327.36,4662377.28,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,4479335.98,4421732.17,0,1413764.71,2153399.21,1785311.55,2605610.78,2839820.31,440000.08,646688.11,0.0
43,递延所得税资产,1507313.28,2016649.71,0,3102461.94,1465337.66,1048889.19,1142336.44,832196.98,818873.85,686967.01,0.0
44,其他非流动资产,28842976.93,37624471.06,0,34245289.67,29645457.00,32390596.60,32960120.24,4504242.50,1066440.00,108450.00,0.0
45,非流动资产合计,92039917.42,101699235.40,0,90684675.98,77660831.08,79877870.58,78277803.28,40294203.32,21771227.71,21710868.87,0.0
46,资产总计,1537774175.70,518320563.87,483531900.00,452580100.00,377803513.82,313643112.76,275288887.19,196982063.79,144365379.68,77376039.14,0.0
47,流动负债,,,,,,,,,,,
48,短期借款,0,0,0,0,0,0,0,0,0,0,0.0
