,报表日期,20190930,20190630,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,
1,流动资产,,,,,,
2,货币资金,0,35739511.88,46022135.66,56095992.30,8784443.22,0.0
3,交易性金融资产,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0.0
5,应收票据及应收账款,0,156565673.03,195843969.34,115583578.32,93485647.60,0.0
6,应收票据,0,25315091.40,9866149.60,730740.00,2413000.00,0.0
7,应收账款,0,131250581.63,185977819.74,114852838.32,91072647.60,0.0
8,应收款项融资,0,0,0,0,0,0.0
9,预付款项,0,4328394.69,4656611.76,3094572.28,1547651.74,0.0
10,其他应收款(合计),0,1543399.69,1113335.70,1392419.08,1427326.17,0.0
11,应收利息,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0.0
13,其他应收款,0,0,0,0,0,0.0
14,买入返售金融资产,0,0,0,0,0,0.0
15,存货,0,34996652.13,30097349.20,51276319.40,52603421.54,0.0
16,划分为持有待售的资产,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0.0
20,其他流动资产,0,532228.46,149868.81,543841.51,565015.84,0.0
21,流动资产合计,0,233705859.88,277883270.47,227986722.89,158413506.11,0.0
22,非流动资产,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0.0
29,在建工程(合计),0,0,0,0,0,0.0
30,在建工程,0,0,0,0,0,0.0
31,工程物资,0,0,0,0,0,0.0
32,固定资产及清理(合计),0,8078543.64,8151912.21,7146470.00,7815138.15,0.0
33,固定资产净额,0,8078543.64,8151912.21,7146470.00,7815138.15,0.0
34,固定资产清理,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0.0
39,无形资产,0,394135.06,332247.96,391140.98,497581.70,0.0
40,开发支出,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0.0
42,长期待摊费用,0,1235683.39,590218.31,56948.71,123669.95,0.0
43,递延所得税资产,0,4676401.28,4922682.64,3038923.75,2386827.41,0.0
44,其他非流动资产,0,216000.00,303500.00,0,0,0.0
45,非流动资产合计,0,14600763.37,14300561.12,10633483.44,10823217.21,0.0
46,资产总计,244054600.00,248306623.25,292183800.00,238620206.33,169236723.32,0.0
47,流动负债,,,,,,
48,短期借款,0,25000000.00,15000000.00,15000000.00,36000000.00,0.0
49,交易性金融负债,0,0,0,0,0,0.0
50,应付票据及应付账款,0,17081434.58,20699281.58,21370411.43,19806932.97,0.0
51,应付票据,0,1746612.00,3853046.44,0,0,0.0
52,应付账款,0,15334822.58,16846235.14,21370411.43,19806932.97,0.0
53,预收款项,0,4211593.16,4110048.59,2290960.60,40000.00,0.0
54,应付手续费及佣金,0,0,0,0,0,0.0
55,应付职工薪酬,0,4893484.11,10837749.30,7856238.62,5885819.25,0.0
56,应交税费,0,586824.30,30747860.60,19420069.89,12123499.26,0.0
57,其他应付款(合计),0,630616.84,927910.82,27537914.98,5389214.49,0.0
58,应付利息,0,0,0,1086189.04,56000.00,0.0
59,应付股利,0,0,0,0,0,0.0
60,其他应付款,0,630616.84,927910.82,26451725.94,5333214.49,0.0
61,预提费用,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0.0
65,其他流动负债,0,0,0,0,0,0.0
66,流动负债合计,0,52403952.99,82322850.89,93475595.52,79245465.97,0.0
67,非流动负债,,,,,,
68,长期借款,0,0,0,0,0,0.0
69,应付债券,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0.0
76,递延所得税负债,0,0,0,0,0,0.0
77,长期递延收益,0,0,0,0,0,0.0
78,其他非流动负债,0,0,0,0,0,0.0
79,非流动负债合计,0,0.00,0.00,0.00,0.00,0.0
80,负债合计,49593600.00,52403952.99,82322900.00,93475595.52,79245465.97,0.0
81,所有者权益,,,,,,
82,实收资本(或股本),0,55200000.00,55200000.00,52250000.00,33000000.00,0.0
83,资本公积,0,46929346.27,46712886.27,21935280.80,14710280.80,0.0
84,减：库存股,0,0,0,0,0,0.0
85,其他综合收益,0,0,0,0,0,0.0
86,专项储备,0,0,0,0,0,0.0
87,盈余公积,0,16982626.64,16982626.64,11368588.37,7293388.82,0.0
88,一般风险准备,0,0,0,0,0,0.0
89,未分配利润,0,76790697.35,90965467.79,59590741.64,34987587.73,0.0
90,归属于母公司股东权益合计,0,195902670.26,209860980.70,145144610.81,89991257.35,0.0
91,少数股东权益,0,0,0,0,0,0.0
92,所有者权益(或股东权益)合计,194460900.00,195902670.26,209861000.00,145144610.81,89991257.35,0.0
93,负债和所有者权益(或股东权益)总计,244054500.00,248306623.25,292183831.59,238620206.33,169236723.32,0.0
