,报表日期,20190930,20190630,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,
1,流动资产,,,,,,
2,货币资金,4802617.53,177041919.23,145628450.44,79359187.60,47594414.37,0.0
3,交易性金融资产,184960000.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0.0
5,应收票据及应收账款,648013.17,555876.92,563179.00,311217.62,159932.50,0.0
6,应收票据,0,0,0,0,0,0.0
7,应收账款,648013.17,555876.92,563179.00,311217.62,159932.50,0.0
8,应收款项融资,0,0,0,0,0,0.0
9,预付款项,1367274.70,850168.70,524166.34,572257.42,769507.98,0.0
10,其他应收款(合计),109710.01,39155.74,74692.95,450118.59,1952823.89,0.0
11,应收利息,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0.0
13,其他应收款,109710.01,39155.74,74692.95,450118.59,1952823.89,0.0
14,买入返售金融资产,0,0,0,0,0,0.0
15,存货,9488719.53,6448322.73,4513060.24,2566069.48,3462415.07,0.0
16,划分为持有待售的资产,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,174000.00,0.0
18,待摊费用,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0.0
20,其他流动资产,2713173.80,1797059.49,8000.90,1260.30,0,0.0
21,流动资产合计,204089508.74,186732502.81,151311549.87,83260111.01,54113093.81,0.0
22,非流动资产,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,1519899.40,0.0
27,长期股权投资,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0.0
29,在建工程(合计),175000.00,175000.00,40000.00,0,0,0.0
30,在建工程,0,0,0,0,0,0.0
31,工程物资,0,0,0,0,0,0.0
32,固定资产及清理(合计),40988455.99,41401506.12,42847820.70,44923231.31,46326295.69,0.0
33,固定资产净额,40988455.99,41401506.12,42847820.70,44923231.31,46326295.69,0.0
34,固定资产清理,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0.0
39,无形资产,10832819.55,11232635.85,12207183.45,14190385.43,16139480.58,0.0
40,开发支出,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0.0
42,长期待摊费用,0,0,0,0,0,0.0
43,递延所得税资产,3085711.37,3218247.44,3594192.91,4154994.19,5421242.21,0.0
44,其他非流动资产,581000.00,1062100.00,48200.00,101200.00,0,0.0
45,非流动资产合计,55662986.91,57089489.41,58737397.06,63369810.93,69406917.88,0.0
46,资产总计,259752495.65,243821992.22,210048946.93,146629921.94,123520011.69,0.0
47,流动负债,,,,,,
48,短期借款,0,0,0,0,0,0.0
49,交易性金融负债,0,0,0,0,0,0.0
50,应付票据及应付账款,3675375.14,3745046.19,1159901.35,1933053.64,2213770.29,0.0
51,应付票据,0,0,0,0,0,0.0
52,应付账款,3675375.14,3745046.19,1159901.35,1933053.64,2213770.29,0.0
53,预收款项,269768.93,282386.69,37923.69,959247.83,2941255.45,0.0
54,应付手续费及佣金,0,0,0,0,0,0.0
55,应付职工薪酬,5995371.96,4719275.57,6194069.09,4418012.04,2981187.36,0.0
56,应交税费,2476985.99,3185366.22,2259063.35,2175313.11,3396419.32,0.0
57,其他应付款(合计),2448042.31,2454371.33,2381886.87,1837840.71,15908189.74,0.0
58,应付利息,0,0,0,0,0,0.0
59,应付股利,0,0,0,0,0,0.0
60,其他应付款,2448042.31,2454371.33,2381886.87,1837840.71,15908189.74,0.0
61,预提费用,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0.0
65,其他流动负债,0,0,0,0,0,0.0
66,流动负债合计,14865544.33,14386446.00,12032844.35,11323467.33,27440822.16,0.0
67,非流动负债,,,,,,
68,长期借款,0,0,0,0,0,0.0
69,应付债券,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0.0
75,预计非流动负债,427196.70,413059.78,1127099.69,809985.66,1081927.93,0.0
76,递延所得税负债,0,0,0,0,0,0.0
77,长期递延收益,850000.00,850000.00,850000.00,850000.00,1150000.00,0.0
78,其他非流动负债,0,0,0,0,0,0.0
79,非流动负债合计,1277196.70,1263059.78,1977099.69,1659985.66,2231927.93,0.0
80,负债合计,16142741.03,15649505.78,14009944.04,12983452.99,29672750.09,0.0
81,所有者权益,,,,,,
82,实收资本(或股本),72000000.00,72000000.00,72000000.00,29800000.00,29800000.00,0.0
83,资本公积,98011185.11,98011185.11,98011185.11,3437921.00,5640000.00,0.0
84,减：库存股,0,0,0,0,0,0.0
85,其他综合收益,0,0,0,0,0,0.0
86,专项储备,0,0,0,0,0,0.0
87,盈余公积,3592888.45,3592888.45,3558961.07,11624083.06,7923533.74,0.0
88,一般风险准备,0,0,0,0,0,0.0
89,未分配利润,70726233.06,55246440.97,23044641.25,89100358.54,50599447.56,0.0
90,归属于母公司股东权益合计,244330306.62,228850514.53,196614787.43,133962362.60,93962981.30,0.0
91,少数股东权益,-720552.00,-678028.09,-575784.54,-315893.65,-115719.70,0.0
92,所有者权益(或股东权益)合计,243609754.62,228172486.44,196039002.89,133646468.95,93847261.60,0.0
93,负债和所有者权益(或股东权益)总计,259752495.65,243821992.22,210048946.93,146629921.94,123520011.69,0.0
