,报表日期,20190930,20190630,20190331,20181231,20180630,20171231,20161231,20151231,19700101
0,单位,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,
2,货币资金,1514313449.45,573938646.26,0,484837510.21,466910594.12,294340616.44,298763870.00,132752484.92,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,547633069.27,456135050.08,0,250031477.71,288971481.43,196428568.19,113917442.58,71908427.16,0.0
6,应收票据,174539816.28,87327156.57,0,68665382.07,0,0,0,0,0.0
7,应收账款,373093252.99,368807893.51,0,181366095.64,0,0,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0.0
9,预付款项,65869675.42,64320102.34,0,47223300.73,53989668.39,82523506.81,34311468.96,30381941.03,0.0
10,其他应收款(合计),14068202.31,11501662.74,0,13612390.74,11543553.74,11191179.66,21022870.69,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,0,0,0,11543553.74,11191179.66,21022870.69,5988622.26,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0.0
15,存货,832103129.56,831280514.04,0,780995666.12,730545722.62,605060370.96,365005765.63,165451792.95,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,233409329.23,188702528.89,0,322151988.91,237330254.10,307364687.95,292215945.37,23456502.43,0.0
21,流动资产合计,3207396855.24,2125878504.35,0,1898852334.42,1789291274.40,1496908930.01,1125237363.23,429939770.75,0.0
22,非流动资产,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),54159087.01,36903325.74,0,113539759.18,82563513.19,42658059.63,0,0,0.0
30,在建工程,0,0,0,0,82563513.19,42658059.63,0,0,0.0
31,工程物资,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),291318933.25,290487466.06,0,189563835.10,189943053.13,192384286.75,103770143.40,0,0.0
33,固定资产净额,0,0,0,189563835.10,189943053.13,192384286.75,103770143.40,29441441.61,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0.0
