,报表日期,20191231,20190930,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,
2,销售商品、提供劳务收到的现金,28833646633.14,21730230700.00,31661155800.00,30452823100.00,27594171500.00,0.0
3,收到的税费返还,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,428477773.38,381134000.00,856553100.00,831303600.00,90258000.00,0.0
5,经营活动现金流入小计,29262124406.52,22111364600.00,32517709000.00,31284126700.00,27684429500.00,0.0
6,购买商品、接受劳务支付的现金,7221194749.38,5371004100.00,12642387500.00,12365097200.00,12168879600.00,0.0
7,支付给职工以及为职工支付的现金,35974414.60,22806000.00,35195000.00,36025400.00,35404200.00,0.0
8,支付的各项税费,5151658947.65,3296952600.00,4689207600.00,3966759100.00,1065549300.00,0.0
9,支付的其他与经营活动有关的现金,130475903.74,87745000.00,1385584900.00,27357200.00,29831600.00,0.0
10,经营活动现金流出小计,12539304015.37,8778507700.00,18752375100.00,16395238900.00,13299664700.00,0.0
11,经营活动产生的现金流量净额,16722820391.15,13332857000.00,13765333900.00,14888887800.00,14384764800.00,0.0
12,二、投资活动产生的现金流量,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,346087759.44,346081500.00,136242800.00,34958800.00,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,14112000.00,65639800.00,151908200.00,0.0
18,投资活动现金流入小计,346087759.44,346081500.00,150354800.00,100598600.00,151908200.00,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,496185618.69,357097400.00,657043600.00,654909400.00,327327200.00,0.0
20,投资所支付的现金,0,0,0,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,20478600.00,23026700.00,58959600.00,0.0
23,投资活动现金流出小计,496185618.69,357097400.00,677522200.00,677936000.00,386286800.00,0.0
24,投资活动产生的现金流量净额,-150097859.25,-11015900.00,-527167400.00,-577337500.00,-234378600.00,0.0
25,三、筹资活动产生的现金流量,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0.0
28,取得借款收到的现金,0,0,2500000000.00,3500000000.00,3800000000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,11350000.00,0,0,0.0
31,筹资活动现金流入小计,0.00,0.00,2511350000.00,3500000000.00,3800000000.00,0.0
32,偿还债务支付的现金,2102500000.00,2017500000.00,7518000000.00,6997615500.00,17278384500.00,0.0
