,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20151231,20141231,20131231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,287868053.31,123764058.91,82804349.58,51099860.98,198453088.41,135663950.83,98914323.67,49469451.20,149742304.98,107391359.57,66080132.21,35938093.23,262553864.16,169825067.90,109566024.95,271487503.47,264501767.53,234320153.82,0.0
3,收到的税费返还,5409709.35,1909089.81,1332852.96,13236.20,1848254.22,1525937.57,343888.75,37196.91,2434974.10,1491695.80,499014.15,466238.18,1871818.21,1871818.21,1324306.52,1388462.52,2268084.07,2864966.59,0.0
4,收到的其他与经营活动有关的现金,11170411.32,8400158.60,5602177.03,4207660.26,18427082.90,11038768.08,10012982.23,978348.24,12253393.95,9792112.18,6971658.01,2058528.03,6986905.96,5630495.81,3726626.39,17800207.59,10374646.12,10883573.53,0.0
5,经营活动现金流入小计,304448173.98,134073307.32,89739379.57,55320757.44,218728425.53,148228656.48,109271194.65,50484996.35,164430673.03,118675167.55,73550804.37,38462859.44,271412588.33,177327381.92,114616957.86,290676173.58,277144497.72,248068693.94,0.0
6,购买商品、接受劳务支付的现金,135595797.43,87636483.52,58106153.55,21270004.79,99209010.36,71276739.71,48906949.32,27931532.91,95601444.60,63090172.13,39212586.87,18230337.62,101308111.36,88244946.59,48727093.23,134196756.43,100246142.79,114481152.23,0.0
7,支付给职工以及为职工支付的现金,75878603.29,58186220.12,39557017.42,23500183.93,68408008.00,52163898.07,35004546.84,21505606.93,63548107.32,46111363.83,36376911.47,20396921.17,64156006.77,45540899.68,34309170.53,58344459.14,52862725.21,46459428.43,0.0
8,支付的各项税费,14243683.43,9917056.42,7020486.29,2614541.82,12687713.60,11183076.17,6175069.06,3965201.09,17251088.18,14626235.11,7070775.26,5238769.34,19481513.00,15743768.87,10718609.64,14437219.53,21306928.81,16450793.27,0.0
9,支付的其他与经营活动有关的现金,34375807.39,26909675.90,17872454.66,7435739.40,32337467.23,24001438.09,14610668.33,5732037.24,32818185.87,30173016.16,17957371.74,12197320.42,39598484.29,33831562.21,20487323.86,49725124.66,49677882.97,50162178.34,0.0
10,经营活动现金流出小计,260093891.54,182649435.96,122556111.92,54820469.94,212642199.19,158625152.04,104697233.55,59134378.17,209218825.97,154000787.23,100617645.34,56063348.55,224544115.42,183361177.35,114242197.26,256703559.76,224093679.78,227553552.27,0.0
11,经营活动产生的现金流量净额,44354282.44,-48576128.64,-32816732.35,500287.50,6086226.34,-10396495.56,4573961.10,-8649381.82,-44788152.94,-35325619.68,-27066840.97,-17600489.11,46868472.91,-6033795.43,374760.60,33972613.82,53050817.94,20515141.67,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,24722.17,8400.00,8400.00,8400.00,6570.00,550.00,550.00,550.00,7483075.00,1275.00,0,0,6321.17,6321.17,6321.17,9340.00,7819.24,31740.01,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,24722.17,8400.00,8400.00,8400.00,6570.00,550.00,550.00,550.00,7483075.00,1275.00,0.00,0.00,6321.17,6321.17,6321.17,9340.00,7819.24,31740.01,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,4408052.92,3839496.91,2729207.96,1001523.97,51790468.60,50567115.05,1539620.26,194230.00,3343531.10,1372434.14,1068063.61,257323.09,1753037.11,1046724.22,530595.31,4985088.94,2619494.90,11257462.05,0.0
20,投资所支付的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,4408052.92,3839496.91,2729207.96,1001523.97,51790468.60,50567115.05,1539620.26,194230.00,3343531.10,1372434.14,1068063.61,257323.09,1753037.11,1046724.22,530595.31,4985088.94,2619494.90,11257462.05,0.0
24,投资活动产生的现金流量净额,-4383330.75,-3831096.91,-2720807.96,-993123.97,-51783898.60,-50566565.05,-1539070.26,-193680.00,4139543.90,-1371159.14,-1068063.61,-257323.09,-1746715.94,-1040403.05,-524274.14,-4975748.94,-2611675.66,-11225722.04,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,0,278410207.55,0,0,0,0,0,0,34370180.00,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,10000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
31,筹资活动现金流入小计,10000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,278410207.55,0.00,0.00,0.00,0.00,0.00,0.00,34370180.00,0.00,0.00,0.0
32,偿还债务支付的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,分配股利、利润或偿付利息所支付的现金,4091861.71,4037486.71,0.00,0,11535676.32,11535676.32,11535676.32,0,27023988.50,27023988.50,27023988.50,0,40240806.74,40240806.74,40240806.74,0,50481046.49,0,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,32876.68,32876.68,0.00,0,3961.82,3961.82,3961.82,0,10065390.18,672809.03,0,0,2900000.00,350000.00,350000.00,0,0,0,0.0
36,筹资活动现金流出小计,4124738.39,4070363.39,0.00,0.00,11539638.14,11539638.14,11539638.14,0.00,37089378.68,27696797.53,27023988.50,0.00,43140806.74,40590806.74,40590806.74,0.00,50481046.49,0.00,0.0
37,筹资活动产生的现金流量净额,5875261.61,-4070363.39,0.00,0.00,-11539638.14,-11539638.14,-11539638.14,0.00,241320828.87,-27696797.53,-27023988.50,0.00,-43140806.74,-40590806.74,-40590806.74,34370180.00,-50481046.49,0.00,0.0
38,四、汇率变动对现金及现金等价物的影响,256179.74,440531.40,64841.53,-201536.30,424246.24,462503.82,113845.48,-325679.23,-438574.47,-309435.41,-132980.71,-24244.00,301286.20,-56820.78,9490.38,182610.28,-20050.34,-143549.12,0.0
39,五、现金及现金等价物净增加额,46102393.04,-56037057.54,-35472698.78,-694372.77,-56813064.16,-72040194.93,-8390901.82,-9168741.05,200233645.36,-64703011.76,-55291873.79,-17882056.20,2282236.43,-47721826.00,-40730829.90,63549655.16,-61954.55,9145870.51,0.0
40,加:期初现金及现金等价物余额,269043074.61,269043074.61,269043074.61,269043074.61,325856138.77,325856138.77,325856138.77,325856138.77,125622493.41,125622493.41,125622493.41,125622493.41,123340256.98,123340256.98,123340256.98,59790601.82,59852556.37,50706685.86,0.0
41,六、期末现金及现金等价物余额,315145467.65,213006017.07,233570375.83,268348701.84,269043074.61,253815943.84,317465236.95,316687397.72,325856138.77,60919481.65,70330619.62,107740437.21,125622493.41,75618430.98,82609427.08,123340256.98,59790601.82,59852556.37,0.0
42,附注,,,,,,,,,,,,,,,,,,,
43,净利润,17033413.23,0,-12791766.02,0,15619515.89,0,21795281.87,0,55285831.34,0,29579169.44,0,53692384.50,0,0,46692337.18,46700995.21,0,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,10947911.73,0,9933854.57,0,7629711.96,0,4642891.10,0,1585307.77,0,2637877.65,0,852164.56,0,0,3624464.47,-614242.87,0,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,5878013.41,0,2856786.10,0,4283168.17,0,1880594.44,0,4242797.74,0,2214312.85,0,4844008.21,0,0,4583855.00,4418112.44,0,0.0
48,无形资产摊销,1165708.62,0,575085.48,0,1128844.83,0,556724.15,0,1544584.45,0,750589.38,0,1329882.96,0,0,1166376.59,1094459.91,0,0.0
49,长期待摊费用摊销,388000.68,0,201015.54,0,356711.13,0,146250.00,0,322004.00,0,167900.00,0,985553.30,0,0,2252262.48,2367960.96,0,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,135774.58,0,-5351.85,0,-33464.24,0,-3138.99,0,-8290724.08,0,-3369.25,0,-40681.78,0,0,43233.51,11610.60,0,0.0
53,固定资产报废损失,0.00,0,128813.36,0,108022.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
