,报表日期,20191231,20190630,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,
2,销售商品、提供劳务收到的现金,3287213427.69,1610540576.49,3483704869.89,2665215422.07,1811139820.39,0.0
3,收到的税费返还,7529309.83,5615848.38,23637.05,4177754.44,11120532.37,0.0
4,收到的其他与经营活动有关的现金,2749642.27,2424417.74,4921662.11,21117237.26,100618005.96,0.0
5,经营活动现金流入小计,3297492379.79,1618580842.61,3488650169.05,2690510413.77,1922878358.72,0.0
6,购买商品、接受劳务支付的现金,2624578245.87,1388387539.66,3024965534.33,2305102498.88,1639350604.37,0.0
7,支付给职工以及为职工支付的现金,76569922.02,41815454.00,60526943.63,50683406.80,28963859.06,0.0
8,支付的各项税费,105835578.77,44259553.46,67719523.08,90770510.76,60879964.81,0.0
9,支付的其他与经营活动有关的现金,165279135.98,85015662.04,164794626.87,116387570.78,94784587.35,0.0
10,经营活动现金流出小计,2972262882.64,1559478209.16,3318006627.91,2562943987.22,1823979015.59,0.0
11,经营活动产生的现金流量净额,325229497.15,59102633.45,170643541.14,127566426.55,98899343.13,0.0
12,二、投资活动产生的现金流量,,,,,,
13,收回投资所收到的现金,1383091305.91,762912552.64,2198512089.88,405769896.56,252050221.93,0.0
14,取得投资收益所收到的现金,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,117112.78,0,5000.00,72910.00,98039.22,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0.0
18,投资活动现金流入小计,1383208418.69,762912552.64,2198517089.88,405842806.56,252148261.15,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,324362423.52,109481856.10,101408270.01,53717245.55,18914301.87,0.0
20,投资所支付的现金,1376000000.00,760000000.00,2195826400.00,393964280.00,226500000.00,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,24020000.00,0,0,0.0
23,投资活动现金流出小计,1700362423.52,869481856.10,2321254670.01,447681525.55,245414301.87,0.0
24,投资活动产生的现金流量净额,-317154004.83,-106569303.46,-122737580.13,-41838718.99,6733959.28,0.0
25,三、筹资活动产生的现金流量,,,,,,
26,吸收投资收到的现金,67500000.00,45000000.00,15000000.00,50000000.00,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,67500000.00,45000000.00,15000000.00,0,0,0.0
28,取得借款收到的现金,43089803.98,0,0,15000000.00,25672313.60,0.0
29,发行债券收到的现金,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0.0
31,筹资活动现金流入小计,110589803.98,45000000.00,15000000.00,65000000.00,25672313.60,0.0
