,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1525390041.27,1057442884.92,519639349.93,2224992737.25,1654731418.71,1078020852.31,508594482.50,1815688184.52,1337314377.58,751769587.76,332104430.42,1670609521.10,1084545651.96,679020627.38,270780828.33,1141912812.72,843855176.31,557045547.31,238788316.81,1107646212.91,781026620.76,554763957.73,260553785.07,902450083.47,736605636.53,769378109.81,0.0
3,收到的税费返还,8320070.15,8099923.24,2242463.00,1749485.35,3201278.58,1313434.47,1064041.17,4770397.22,4476778.00,4024288.14,3373611.34,8896625.11,8259273.66,7793015.77,3331571.53,6820644.05,3670048.91,3283913.67,134643.09,1544697.47,1544697.47,53931.54,8114.79,329943.66,5319577.78,7621406.11,0.0
4,收到的其他与经营活动有关的现金,45643196.02,39624806.12,29581358.33,49748315.89,40351182.47,17895509.97,9126943.73,72641208.09,28816927.81,26405403.12,8142638.05,58763079.07,7444497.52,6526833.14,1817276.18,23633177.14,13916928.71,7568919.43,1367929.29,18204325.02,14105381.51,13768285.74,5561341.46,7676395.74,40799055.25,14821533.12,0.0
5,经营活动现金流入小计,1579353307.44,1105167614.28,551463171.26,2276490538.49,1698283879.76,1097229796.75,518785467.40,1893099789.83,1370608083.39,782199279.02,343620679.81,1738269225.28,1100249423.14,693340476.29,275929676.04,1172366633.91,861442153.93,567898380.41,240290889.19,1127395235.40,796676699.74,568586175.01,266123241.32,910456422.87,782724269.56,791821049.04,0.0
6,购买商品、接受劳务支付的现金,977872220.26,675179261.19,341106303.89,1399180355.44,1034635221.65,712208771.15,376294792.19,1152140041.05,885525501.00,608945782.94,295947755.16,973005719.53,626631233.01,362740342.36,198109356.66,693418921.62,477124491.05,355938172.37,148544743.04,737440592.43,527956965.36,332965553.66,213635537.06,543335159.25,499545061.94,538201551.39,0.0
7,支付给职工以及为职工支付的现金,296201007.07,216594935.81,108510867.22,391100408.58,299516395.11,226060434.28,131939254.10,288439793.91,216519612.19,151096640.43,75818489.13,261521975.34,195351698.05,135590961.55,68248246.60,211919462.28,175862675.61,124274871.99,68349083.20,197054248.59,152614325.21,105490550.94,57299477.14,155961800.19,118192002.18,82365043.72,0.0
8,支付的各项税费,67723867.81,54049121.22,15091865.54,100107390.34,71748804.68,48905273.20,24012640.56,124414338.50,96973919.81,61871940.43,27538886.26,94544260.37,72679691.29,48809015.00,16628655.67,62681558.62,39966531.31,16491155.35,7444200.42,63060195.21,43174014.79,23665852.90,11059950.62,59861292.32,50038354.13,43466909.80,0.0
9,支付的其他与经营活动有关的现金,140008798.64,111075399.54,57226031.77,232349384.90,176990199.49,129451544.59,130169935.89,182263201.87,111211616.32,65729522.79,23947600.22,180186925.39,91913050.92,58422677.01,25005987.76,159924223.53,124442992.61,52172485.73,47995987.98,98151485.89,85907837.94,67648140.41,33110264.55,106490926.17,74528871.99,82268780.06,0.0
10,经营活动现金流出小计,1481805893.78,1056898717.76,521935068.42,2122737539.26,1582890620.93,1116626023.22,662416622.74,1747257375.33,1310230649.32,887643886.59,423252730.77,1509258880.63,986575673.27,605562995.92,307992246.69,1127944166.05,817396690.58,548876685.44,272334014.64,1095706522.12,809653143.30,529770097.91,315105229.37,865649177.93,742304290.24,746302284.97,0.0
11,经营活动产生的现金流量净额,97547413.66,48268896.52,29528102.84,153752999.23,115393258.83,-19396226.47,-143631155.34,145842414.50,60377434.07,-105444607.57,-79632050.96,229010344.65,113673749.87,87777480.37,-32062570.65,44422467.86,44045463.35,19021694.97,-32043125.45,31688713.28,-12976443.56,38816077.10,-48981988.05,44807244.94,40419979.32,45518764.07,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,460215.30,387715.70,371693.12,432876.75,2055319.09,2008212.66,631007.24,1075064.11,394135.97,72633.16,40683.50,276003.28,208662.80,145102.75,0,355061.01,0,0,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,650645.02,613890.95,1701746.18,2933964.40,2714980.27,1570614.28,0,677835.03,782201.08,247140.68,2296.08,1450391.93,1969684.69,1138182.09,180582.83,4484247.48,341398.13,102784.00,231941.72,442803.13,196600.82,147571.69,172857.62,363911.83,149942.30,13000.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7688660.80,0.0
17,收到的其他与投资活动有关的现金,102854655.83,77954103.10,53715393.39,295084449.55,854089172.32,701524941.09,100791004.37,396295830.48,226066436.48,107000000.00,39000000.00,325200000.00,244000000.00,171000000.00,0,51113923.99,0,0,0,0,0,0,0,0,0,4055861.50,0.0
18,投资活动现金流入小计,103965516.15,78955709.75,55788832.69,298451290.70,858859471.68,705103768.03,101422011.61,398048729.62,227242773.53,107319773.84,39042979.58,326926395.21,246178347.49,172283284.84,180582.83,55953232.48,341398.13,102784.00,231941.72,442803.13,196600.82,147571.69,172857.62,363911.83,149942.30,11757522.30,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,122822517.18,53861913.32,80870771.80,196846457.74,188080157.59,145581150.34,44215234.59,147395575.86,81924445.63,60161845.41,24244828.96,93893297.06,75930833.32,41994727.41,26548337.61,95059288.66,82620725.29,33896797.46,28243526.61,193848012.05,179328215.86,87213508.87,53181741.52,133476905.07,62178700.34,63487093.69,0.0
20,投资所支付的现金,0,0,0,4180174.96,3825750.00,3825750.00,0,30000000.00,0,0,0,180000000.00,180000000.00,180000000.00,4509000.00,0,0,0,0,0,0,0,0,0,0,9269471.69,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,8834097.70,8834097.70,8834097.70,0,0,0,0,0,0,0,0,0,0,1008993.91,8296000.00,0.0
22,支付的其他与投资活动有关的现金,90000000.00,72000000.00,52000000.00,274658300.00,915601370.00,725347600.00,108958300.00,430340910.99,287217470.99,108167028.50,41000000.00,327000000.00,244000000.00,171000000.00,0,45200000.00,18000000.00,10800000.00,0,1383862.94,1383862.94,0,0,0,0,0,0.0
23,投资活动现金流出小计,212822517.18,125861913.32,132870771.80,475684932.70,1107507277.59,874754500.34,153173534.59,607736486.85,369141916.62,168328873.91,65244828.96,609727394.76,508764931.02,401828825.11,31057337.61,140259288.66,100620725.29,44696797.46,28243526.61,195231874.99,180712078.80,87213508.87,53181741.52,133476905.07,63187694.25,81052565.38,0.0
24,投资活动产生的现金流量净额,-108857001.03,-46906203.57,-77081939.11,-177233642.00,-248647805.91,-169650732.31,-51751522.98,-209687757.23,-141899143.09,-61009100.07,-26201849.38,-282800999.55,-262586583.53,-229545540.27,-30876754.78,-84306056.18,-100279327.16,-44594013.46,-28011584.89,-194789071.86,-180515477.98,-87065937.18,-53008883.90,-133112993.24,-63037751.95,-69295043.08,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,635172.94,0,0,0,640463.11,0,0,0,0,0,0,0,374199000.00,373624000.00,373624000.00,360600000.00,0,0,0,0,4900000.00,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,635172.94,0,0,0,0,0,0,0,0,0,0,0,575000.00,0,0,0,0,0,0,0,4900000.00,0,0,0.0
28,取得借款收到的现金,434090727.02,362174087.56,175670000.00,686413905.39,509440180.17,345170383.98,223435508.87,573455777.38,331825348.95,280258453.88,153880000.00,450391364.80,389867898.67,276286017.87,93608205.61,482190856.46,346951039.95,271190939.80,162738475.97,612565492.27,433693153.50,265616931.25,217998539.07,366118673.83,172623106.57,151436842.87,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
