,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20171231,20161231,20151231,20141231,20131231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,316485567.22,1471319166.80,971850888.79,607640012.80,224191834.83,1054560283.68,713701712.25,454300075.97,831796687.96,645862656.21,417818974.26,426369777.35,426479925.81,0.0
3,收到的税费返还,16921695.47,57962177.26,45416731.40,25890410.77,9798690.70,50633629.73,28495015.05,19964894.11,57638358.07,16428882.88,9569854.20,10103369.35,11456111.50,0.0
4,收到的其他与经营活动有关的现金,13329536.68,36264077.35,32080851.25,22944040.08,10319711.12,22815560.00,16754111.53,8736812.21,36657239.39,12489505.95,15342980.57,8032672.17,4528656.68,0.0
5,经营活动现金流入小计,346736799.37,1565545421.41,1049348471.44,656474463.65,244310236.65,1128009473.41,758950838.83,483001782.29,926092285.42,674781045.04,442731809.03,444505818.87,442464693.99,0.0
6,购买商品、接受劳务支付的现金,208181040.95,752438394.67,535121264.30,331804345.40,192511152.76,653971594.11,472615524.91,323747063.86,533902117.01,294978730.83,235884877.98,257259129.75,315334583.30,0.0
7,支付给职工以及为职工支付的现金,68859261.47,312685541.81,235587606.54,156401265.85,58341703.72,216953702.01,167358270.72,105619996.62,166429766.67,105828686.69,85882608.72,70014386.97,49604102.52,0.0
8,支付的各项税费,33107345.90,105579655.08,79386098.76,57721078.85,36365069.21,61542783.26,47022634.42,32473361.02,56396041.97,50936944.61,34004902.34,32013447.47,26209971.04,0.0
9,支付的其他与经营活动有关的现金,44338977.06,158318716.57,118684235.04,66313079.44,34528339.67,98453601.10,78782005.04,47817937.45,82563155.57,85823298.03,50031181.01,35383211.36,29729391.73,0.0
10,经营活动现金流出小计,354486625.38,1329022308.13,968779204.64,612239769.54,321746265.36,1030921680.48,765778435.09,509658358.95,839291081.22,537567660.16,405803570.05,394670175.55,420878048.59,0.0
11,经营活动产生的现金流量净额,-7749826.01,236523113.28,80569266.80,44234694.11,-77436028.71,97087792.93,-6827596.26,-26656576.66,86801204.20,137213384.88,36928238.98,49835643.32,21586645.40,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,
13,收回投资所收到的现金,300000000.00,81730000.00,42593720.00,4000000.00,0,10551158.34,10551158.34,10551156.34,84525606.05,18117243.87,28000000.00,0,0,0.0
14,取得投资收益所收到的现金,922191.78,627626.06,334047.99,72064.39,0,52521.33,52521.33,52521.33,787667.22,667261.00,32572.63,53731.00,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,0,115989.21,114869.21,112569.21,0,1024432.00,762300.00,379300.00,64920.87,15720.00,90450.00,41030.00,2046.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,4136280.00,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,300922191.78,82473615.27,47178917.20,4184633.60,0.00,11628111.67,11365979.67,10982977.67,85378194.14,18800224.87,28123022.63,94761.00,2046.00,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,25582981.37,56705007.49,25900411.98,15043363.25,5117809.20,28364000.35,17455905.90,10584465.52,39938910.83,27247834.34,11988988.61,10195778.80,12527117.74,0.0
20,投资所支付的现金,419000000.00,85155000.00,83405000.00,48405000.00,2675000.00,12250000.00,10500000.00,10500000.00,65500000.00,43050010.00,29021500.00,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,444582981.37,141860007.49,109305411.98,63448363.25,7792809.20,40614000.35,27955905.90,21084465.52,105438910.83,70297844.34,41010488.61,10195778.80,12527117.74,0.0
24,投资活动产生的现金流量净额,-143660789.59,-59386392.22,-62126494.78,-59263729.65,-7792809.20,-28985888.68,-16589926.23,-10101487.85,-20060716.69,-51497619.47,-12887465.98,-10101017.80,-12525071.74,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,768800000.00,0,0,0,0,0,0,19600000.00,0,1500000.00,900000.00,3340000.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,1500000.00,900000.00,600000.00,0.0
28,取得借款收到的现金,0,26000000.00,26000000.00,26000000.00,0,35000000.00,15000000.00,0,21000000.00,10090000.00,15000000.00,11000000.00,22242000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,34755000.00,0,29955000.00,0.0
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
31,筹资活动现金流入小计,0.00,794800000.00,26000000.00,26000000.00,0.00,35000000.00,15000000.00,0.00,40600000.00,10090000.00,51255000.00,11900000.00,55537000.00,0.0
32,偿还债务支付的现金,0,34800000.00,15900000.00,15600000.00,15300000.00,19900000.00,19700000.00,600000.00,47244012.74,14990000.00,12750000.00,40750000.00,37042000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,341755.55,3938965.54,3096299.64,874761.70,372805.87,48317416.32,37634393.82,35679867.90,29974044.42,18964294.34,16759192.01,18032527.92,7311834.78,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,1600000.00,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,12598691.05,7723813.62,4805523.98,2895801.37,1283459.53,5362986.08,4069918.76,2452102.36,4428941.48,700000.00,11631342.67,175000.00,1064673.40,0.0
36,筹资活动现金流出小计,12940446.60,46462779.16,23801823.62,19370563.07,16956265.40,73580402.40,61404312.58,38731970.26,81646998.64,34654294.34,41140534.68,58957527.92,45418508.18,0.0
37,筹资活动产生的现金流量净额,-12940446.60,748337220.84,2198176.38,6629436.93,-16956265.40,-38580402.40,-46404312.58,-38731970.26,-41046998.64,-24564294.34,10114465.32,-47057527.92,10118491.82,0.0
38,四、汇率变动对现金及现金等价物的影响,389839.44,82388.50,2015833.52,-573847.58,-1852740.23,-326916.17,888844.66,-842376.21,-1765662.73,1610406.92,0,0,70.25,0.0
39,五、现金及现金等价物净增加额,-163961222.76,925556330.40,22656781.92,-8973446.19,-104037843.54,29194585.68,-68932990.41,-76332410.98,23927826.14,62761877.99,34155238.32,-7322902.40,19180135.73,0.0
40,加:期初现金及现金等价物余额,1108482345.81,182926015.41,182926015.41,182926015.41,182926015.41,153731429.73,153731429.73,153731429.73,129803603.59,67041725.60,33379214.73,40702117.13,21521981.40,0.0
41,六、期末现金及现金等价物余额,944521123.05,1108482345.81,205582797.33,173952569.22,78888171.87,182926015.41,84798439.32,77399018.75,153731429.73,129803603.59,67534453.05,33379214.73,40702117.13,0.0
42,附注,,,,,,,,,,,,,,
43,净利润,0,199078833.85,112475233.16,81660587.08,0,156740900.00,58202576.42,26235400.00,120240100.00,73620300.00,0,0,0,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,0,6831494.56,6296008.49,5749177.89,0,16972300.00,5559876.28,5559900.00,6263200.00,5680700.00,0,0,0,0.0
