,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20141231,20131231,20121231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,347644121.56,210456771.22,104499855.96,474722102.06,324340934.61,212038250.56,100934957.72,423749497.95,326731063.72,220163524.25,108833463.34,443391371.71,275753468.46,147698699.04,62782273.25,361580974.80,288727660.23,308038399.88,250367485.11,0.0
3,收到的税费返还,1368840.00,753960.00,425899.09,1727680.00,1670385.63,866880.00,367793.99,1714880.00,1285594.47,844800.00,422400.00,1470900.54,1048500.54,619700.54,303333.68,1485209.25,2724541.71,3616670.80,3774170.98,0.0
4,收到的其他与经营活动有关的现金,42340268.05,30357019.57,16037371.57,53475747.19,54960629.71,48184594.08,28738198.43,60568612.87,44147517.62,40772828.57,34847564.27,61421364.47,58563288.39,56901848.71,33122870.94,22248038.80,30567024.24,19068251.95,53032642.04,0.0
5,经营活动现金流入小计,391353229.61,241567750.79,120963126.62,529925529.25,380971949.95,261089724.64,130040950.14,486032990.82,372164175.81,261781152.82,144103427.61,506283636.72,335365257.39,205220248.29,96208477.87,385314222.85,322019226.18,330723322.63,307174298.13,0.0
6,购买商品、接受劳务支付的现金,245503521.02,162146752.48,118260245.84,318885022.61,233922454.73,155632109.80,73980448.36,261396103.12,227382977.45,126483024.89,79182238.52,241414161.49,188173167.53,84030298.44,72754905.52,133810424.01,121543655.20,128306925.12,151559823.77,0.0
7,支付给职工以及为职工支付的现金,50459282.38,35339971.98,20188556.91,72076868.23,47871897.22,36553079.60,16829321.21,64268031.42,46445717.89,34388015.01,13266256.87,59422300.63,41388179.46,29140983.17,11296576.09,67890691.88,64351516.92,59235524.45,58275861.51,0.0
8,支付的各项税费,31896092.96,24284286.77,13814623.75,39441153.76,30665654.60,22516701.50,10497742.15,32701962.89,20951943.19,14958851.49,6573047.33,28563354.58,22592007.47,13237991.77,6256683.60,48704551.75,44169564.15,49259980.19,43986634.43,0.0
9,支付的其他与经营活动有关的现金,119889464.04,76432423.85,20636740.42,107013309.09,73102210.02,66660137.22,30453022.58,84555086.79,74714400.48,61590760.98,36973697.69,123547687.41,80445739.16,78589716.78,42206472.83,120496359.13,81504968.98,75599076.94,113285596.37,0.0
10,经营活动现金流出小计,447748360.40,298203435.08,172900166.92,537416353.69,385562216.57,281362028.12,131760534.30,442921184.22,369495039.01,237420652.37,135995240.41,452947504.11,332599093.62,204998990.16,132514638.04,370902026.77,311569705.25,312401506.70,367107916.08,0.0
11,经营活动产生的现金流量净额,-56395130.79,-56635684.29,-51937040.30,-7490824.44,-4590266.62,-20272303.48,-1719584.16,43111806.60,2669136.80,24360500.45,8108187.20,53336132.61,2766163.77,221258.13,-36306160.17,14412196.08,10449520.93,18321815.93,-59933617.95,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,193000000.00,193000000.00,100000000.00,0,0,0,0,0,0,0,0,0,0,902976.01,0,0,0.0
14,取得投资收益所收到的现金,2523331.77,2485888.27,0,11427081.63,5561238.56,4295554.27,0,946276.20,0,0,0,0,0,0,0,0,0,0,58617500.00,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,5301500.00,58000.00,0,29690163.03,4980.00,0,0,600.00,0,0,0,85503.13,18700.00,5986.41,0,457576.00,500856.41,10512.82,19470840.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133730.88,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16726000.00,26811703.26,10000000.00,0,0.0
18,投资活动现金流入小计,7824831.77,2543888.27,0.00,234117244.66,198566218.56,104295554.27,0.00,946876.20,0.00,0.00,0.00,85503.13,18700.00,5986.41,0.00,17183576.00,28215535.68,10010512.82,79222070.88,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,48755402.95,27677677.29,6859221.00,67816817.86,25550289.46,13174056.21,587514.00,2875545.90,1097575.39,1065106.35,146610.00,1279570.54,1368054.61,1415557.74,26081.27,5304464.09,44027009.83,49814239.26,55541621.23,0.0
20,投资所支付的现金,2000000.00,2000000.00,0,93011782.54,93000000.00,93000000.00,0,102564372.23,4000000.00,0,0,0,0,0,0,0,0,0,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,4000000.00,0,0,0,0,0,0,0,10045027.20,13235162.44,17288200.80,0,0.0
22,支付的其他与投资活动有关的现金,0,0,2000000.00,0,0,0,0,0,0,0,0,0,0,0,0,415068.89,4646647.35,18413988.83,0,0.0
23,投资活动现金流出小计,50755402.95,29677677.29,8859221.00,160828600.40,118550289.46,106174056.21,587514.00,109439918.13,5097575.39,1065106.35,146610.00,1279570.54,1368054.61,1415557.74,26081.27,15764560.18,61908819.62,85516428.89,55541621.23,0.0
24,投资活动产生的现金流量净额,-42930571.18,-27133789.02,-8859221.00,73288644.26,80015929.10,-1878501.94,-587514.00,-108493041.93,-5097575.39,-1065106.35,-146610.00,-1194067.41,-1349354.61,-1409571.33,-26081.27,1419015.82,-33693283.94,-75505916.07,23680449.65,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,0,0,178230066.34,178224662.37,178224662.37,0,0,0,0,0,0,0,20250968.00,55171060.00,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
