,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20121231,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,4030795560.00,3266105970.00,2397395560.00,1022649488.30,1837916716.66,1452109116.39,935083351.01,609662160.53,3074123347.36,2187518519.31,1389828045.91,511738567.58,1507439258.81,1207551910.13,629940850.62,267861854.92,1158868580.68,1104958755.12,935742454.05,258338533.74,2329389216.96,1892442006.30,1566458493.42,840219975.24,3325460308.15,2455745733.41,3009101584.63,3051896071.57,2867336156.50,1794459038.99,0.0
3,收到的税费返还,0,74570.00,74570.00,0,0,0,0,0,0,22000000.00,0,0,0,20000000.00,20000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,41431310.00,73382680.00,62759640.00,6812393.40,63570975.29,86162503.88,79364463.62,26391907.75,81892576.47,26513707.19,18759431.78,5659479.90,57162808.85,17733675.95,12080734.49,3386283.95,69463676.95,24703493.44,19273696.25,7575381.34,27657995.38,17107416.19,15416768.73,8606306.60,20025680.41,9404952.69,62154444.15,19919433.34,17979345.39,14611067.85,0.0
5,经营活动现金流入小计,4072226870.00,3339563220.00,2460229770.00,1029461881.70,1901487691.95,1538271620.27,1014447814.63,636054068.28,3156015923.83,2236032226.50,1408587477.69,517398047.48,1564602067.66,1245285586.08,662021585.11,271248138.87,1228332257.63,1129662248.56,955016150.30,265913915.08,2357047212.34,1909549422.49,1581875262.15,848826281.84,3345485988.56,2465150686.10,3071256028.78,3071815504.91,2885315501.89,1809070106.84,0.0
6,购买商品、接受劳务支付的现金,2379609030.00,1893322340.00,1303080790.00,723935743.52,1114304710.60,962997768.47,566274802.33,286859065.24,2138113396.78,1522933588.42,869753967.77,254362290.19,466803951.63,366971384.04,190143420.49,171461197.99,499976390.98,521074012.87,229416823.85,184527480.95,792060601.15,557670567.21,291455744.99,224074720.25,1073611582.31,881877455.59,573709484.27,558760384.20,577603820.77,485721890.12,0.0
7,支付给职工以及为职工支付的现金,404664560.00,293154350.00,198685550.00,99211128.08,402609888.49,310488095.96,218948742.05,124087586.00,404941661.56,306415907.96,197261040.50,112090426.56,415535588.05,316373513.71,217460707.78,124132304.08,454087431.58,345014244.33,244786482.34,136452211.63,458443694.11,350205751.00,241843558.15,134689504.25,426028401.18,382563283.94,407811796.91,359940517.91,262969888.95,242162111.17,0.0
8,支付的各项税费,124462390.00,177341740.00,112803960.00,20864533.51,174829139.87,152334204.98,128736850.63,73770626.48,220712140.86,150513807.85,97927338.34,55311318.46,242454305.23,187485983.72,131163348.80,89194364.01,278911695.63,228715875.50,298644379.38,109948073.62,570097962.12,567828860.94,374772500.69,224503516.87,850457883.39,647694280.35,874179270.28,1064689129.36,808410773.04,586076537.70,0.0
