,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20131231,20130630,20121231,20120630,20111231,20110630,20101231,20100630,20091231,20090630,20081231,20080630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,1212528650.13,891238699.08,386199678.89,1649663626.34,1017256470.98,752350049.57,232039122.23,946863282.16,620999649.29,370858028.45,170998000.09,842985891.62,559024106.91,316944186.77,178421740.02,503522526.68,313837170.24,213915577.15,103912853.33,425545721.39,254837933.42,146725639.25,445881817.45,175106687.23,268687724.02,121955126.48,280637409.17,80398998.86,188867174.51,77016039.70,175484408.04,50218459.20,109960352.56,31485951.17,0.0
3,收到的税费返还,6028057.25,2904316.11,1045131.23,12007551.29,9395382.39,4954018.32,1350949.13,12103809.38,3271826.45,2816909.07,741728.83,3093822.54,2711117.10,1921148.82,510744.80,1943564.61,1418614.66,731374.10,287007.94,145970.17,615424.04,145970.17,172529.80,36747.23,989247.39,0,235514.19,0,244492.12,0,0.00,0,0.00,0,0.0
4,收到的其他与经营活动有关的现金,147790354.89,52633629.41,44993077.54,159214066.78,96033489.74,52250506.17,25220131.94,152007179.74,90564181.10,73960966.94,16560690.58,122774381.43,80678778.01,52262791.04,19283387.64,84878106.37,50686393.40,27117585.35,7467422.16,80301234.32,55008979.33,46812186.14,62538268.89,29472161.11,69159334.32,21131555.51,34838965.71,12276646.83,24424646.26,5901189.17,12890774.94,5615360.78,22750446.29,11544675.50,0.0
5,经营活动现金流入小计,1366347062.27,946776644.60,432237887.66,1820885244.41,1122685343.11,809554574.06,258610203.30,1110974271.28,714835656.84,447635904.46,188300419.50,968854095.59,642414002.02,371128126.63,198215872.46,590344197.66,365942178.30,241764536.60,111667283.43,505992925.88,310462336.79,193683795.56,508592616.14,204615595.57,338836305.73,143086681.99,315711889.07,92675645.69,213536312.89,82917228.87,188375182.98,55833819.98,132710798.85,43030626.67,0.0
6,购买商品、接受劳务支付的现金,659917040.76,493737194.42,272733900.49,1103517810.78,860601482.23,582977286.26,230666401.41,580345731.71,467531074.84,262985735.70,115413212.89,516520860.48,355030064.78,155375593.94,116692197.11,269138511.49,169279079.06,102677155.00,55743205.86,202543713.15,117627121.91,66723999.14,261231528.16,93495115.97,148469970.37,84227756.14,170234242.10,71670261.37,113536375.95,55502827.10,106296622.39,27046157.15,76682494.49,27425316.48,0.0
7,支付给职工以及为职工支付的现金,149061869.39,91881059.66,45174677.06,176417326.75,138775754.26,80403318.74,41226559.51,118012002.91,86221696.16,58274918.16,32387988.15,97895423.64,69013911.27,43155555.39,24779606.49,69442198.19,51959868.01,35061385.53,18037178.47,58911462.37,43678875.66,29157466.79,43380998.00,21286344.37,35537737.47,17718863.29,27332472.24,10772023.66,17101789.58,9044498.66,14318853.98,5678491.39,7957794.81,3818844.99,0.0
8,支付的各项税费,93843665.30,68740118.69,33869717.89,112721050.29,77431937.42,57553445.69,35486372.10,79078229.69,56399919.79,36128582.53,29856295.53,85004858.10,54593337.04,33936686.99,25916947.94,70919259.41,45049422.28,28974582.08,23114682.81,46651609.12,28390742.68,15194182.24,41026607.32,14441279.00,33839186.18,15895621.39,29564941.47,6890859.87,20410951.94,6604562.87,18555171.79,9418871.22,10561918.44,2931793.57,0.0
