,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20151231,20141231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,131405624.09,551917006.42,424581214.68,259488237.56,138969481.47,484563015.37,397432704.88,234703156.75,110486286.58,406981699.94,269418126.85,186693319.44,91889902.33,390704825.50,291291300.19,274589546.56,0.0
3,收到的税费返还,422025.72,446097.41,109840.13,0,0,1011831.63,474767.31,1007196.72,905367.71,699111.96,412606.83,412606.83,85733.49,730945.72,1262157.76,1355994.23,0.0
4,收到的其他与经营活动有关的现金,3104584.11,20234442.07,27586872.94,19585312.88,7443091.91,23011694.94,18847842.32,11645062.24,5448610.30,17666748.98,18420353.44,12667074.16,10104218.22,7736823.40,12035328.59,7433659.76,0.0
5,经营活动现金流入小计,134932233.92,572597545.90,452277927.75,279073550.44,146412573.38,508586541.94,416755314.51,247355415.71,116840264.59,425347560.88,288251087.12,199773000.43,102079854.04,399172594.62,304588786.54,283379200.55,0.0
6,购买商品、接受劳务支付的现金,62354614.93,247297334.57,203613840.57,96230252.00,40789268.30,228239107.93,205699874.05,111082796.69,50786192.37,210248111.11,135658098.31,95107161.77,34125125.02,159283705.93,138456505.56,172130903.71,0.0
7,支付给职工以及为职工支付的现金,25330747.10,108413300.58,63871351.52,49129060.62,25600096.20,93867834.32,67286830.89,42800689.49,23024378.40,76069521.58,56769854.70,37524782.73,18967600.17,69090842.90,62102508.56,49255215.93,0.0
8,支付的各项税费,7716143.63,34195269.18,22006419.08,15285045.63,9721938.73,39440016.50,26257876.07,19729784.85,10963062.20,40781323.49,25494755.63,17269843.44,7156414.37,49995986.48,23643959.18,14672251.34,0.0
9,支付的其他与经营活动有关的现金,17495484.42,56472715.46,46855710.23,29241825.56,19322080.26,42742560.82,33906600.81,18166866.74,15331536.06,35755023.23,28755788.71,15974027.17,10581410.91,35571307.09,31886984.02,35581571.07,0.0
10,经营活动现金流出小计,112896990.08,446378619.79,336347321.40,189886183.81,95433383.49,404289519.57,333151181.82,191780137.77,100105169.03,362853979.41,246678497.35,165875815.11,70830550.47,313941842.40,256089957.32,271639942.05,0.0
11,经营活动产生的现金流量净额,22035243.84,126218926.11,115930606.35,89187366.63,50979189.89,104297022.37,83604132.69,55575277.94,16735095.56,62493581.47,41572589.77,33897185.32,31249303.57,85230752.22,48498829.22,11739258.50,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,105000000.00,575018090.00,512756690.00,379651130.00,57182100.00,378500000.00,0,2000000.00,2000000.00,0,0,0,0,11000000.00,0,0,0.0
14,取得投资收益所收到的现金,50293.14,4595338.21,3564651.64,3404083.66,629465.69,2820763.51,153966.54,12130.83,2712.33,40772.60,29964.38,22520.54,6371.70,779982.98,533650.68,84225.16,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,0,236731.72,50427.31,54528.90,33035.98,417265.00,1083086.34,0,0,16000.00,25615.77,16000.00,15560.00,219936.62,73872.69,95000.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,10000000.00,616940000.00,142500000.00,128000000.00,10000000.00,0,27000000.00,0,0,50000.00,0,0,0,22659994.98,16915727.24,12955549.22,0.0
18,投资活动现金流入小计,115050293.14,1196790159.93,658871768.95,511109742.56,67844601.67,381738028.51,28237052.88,2012130.83,2002712.33,106772.60,55580.15,38520.54,21931.70,34659914.58,17523250.61,13134774.38,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,11799909.98,96811124.30,66332709.61,50503033.05,22922356.43,29234055.98,13345176.70,8516445.09,2128504.31,42413693.14,31023234.49,30542465.81,23029072.50,17514795.45,34421845.12,11898361.69,0.0
20,投资所支付的现金,117000000.00,381952450.00,325641730.00,218094230.00,67850750.00,601931600.00,0,0,3000000.00,2000000.00,0,0,10000000.00,0,11000000.00,0,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
22,支付的其他与投资活动有关的现金,250000000.00,626940000.00,32500000.00,18000000.00,0,110961886.00,370000000.00,0,0,0,0,0,0,13129100.02,19186784.00,18496100.00,0.0
23,投资活动现金流出小计,378799909.98,1105703574.30,424474439.61,286597263.05,90773106.43,742127541.98,383345176.70,8516445.09,5128504.31,44413693.14,31023234.49,30542465.81,33029072.50,30643895.47,64608629.12,30394461.69,0.0
24,投资活动产生的现金流量净额,-263749616.84,91086585.63,234397329.34,224512479.51,-22928504.76,-360389513.47,-355108123.82,-6504314.26,-3125791.98,-44306920.54,-30967654.34,-30503945.27,-33007140.80,4016019.11,-47085378.51,-17259687.31,0.0
25,三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,
26,吸收投资收到的现金,0,0,0,0,0,414240000.00,394999433.97,0,0,0,0,0,0,102225000.00,0,0,0.0
27,其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,取得借款收到的现金,0,16000000.00,15000000.00,15000000.00,0,63700000.00,53700000.00,37700000.00,12000000.00,68250000.00,43250000.00,20250000.00,11000000.00,107321740.79,98633793.35,85500000.00,0.0
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,12070000.00,49338396.33,67350000.00,0.0
31,筹资活动现金流入小计,0.00,16000000.00,15000000.00,15000000.00,0.00,477940000.00,448699433.97,37700000.00,12000000.00,68250000.00,43250000.00,20250000.00,11000000.00,221616740.79,147972189.68,152850000.00,0.0
32,偿还债务支付的现金,0,42000000.00,36000000.00,10000000.00,0,100950000.00,89950000.00,58250000.00,6000000.00,71821740.79,51321740.79,32871740.79,8621740.79,115233793.35,70500000.00,59900000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,0,77720365.29,77853721.14,77706787.80,411216.98,2102126.07,1882886.06,1442889.59,738900.64,2896146.99,2207627.91,1524167.71,741858.29,163024541.21,3697459.48,2497602.97,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,14849.85,288533.72,273073.96,265594.95,157608.85,22742978.08,0,0,0,0,0,0,0,30315515.25,62072637.88,76479017.13,0.0
