,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20141231,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,2635335589.64,1631941755.56,890406223.78,2978019563.95,2117746840.54,1297173098.93,695850510.26,2284819211.96,1583676140.63,957636590.79,448007525.41,1788715459.20,1251220482.43,807268271.46,382627222.08,1355874956.47,965344424.09,1182908543.99,934059476.82,913139470.15,613156113.69,0.0
3,收到的税费返还,168090949.55,105407055.58,64634819.18,210231497.45,194528122.67,111280782.57,51925321.96,151418571.20,114749279.91,79515808.03,39396211.17,99886877.24,71039937.75,55393883.64,29125729.10,108827831.10,83348719.20,99863484.31,87527275.40,87917528.31,58374608.67,0.0
4,收到的其他与经营活动有关的现金,19685837.43,14664405.29,15279458.70,20764117.36,6479435.74,3927990.41,1140371.46,33871736.71,58485436.23,34003461.60,29216318.44,20036272.03,29754581.75,13167219.36,10125114.42,19427589.37,13883103.36,6972069.07,3508278.22,6829477.75,5402503.29,0.0
5,经营活动现金流入小计,2823112376.62,1752013216.43,970320501.66,3209015178.76,2318754398.95,1412381871.91,748916203.68,2470109519.87,1756910856.77,1071155860.42,516620055.02,1908638608.47,1352015001.93,875829374.46,421878065.60,1484130376.94,1062576246.65,1289744097.37,1025095030.44,1007886476.21,676933225.65,0.0
6,购买商品、接受劳务支付的现金,2002707389.02,1108050131.44,652755503.08,2204924333.33,1613836402.97,1008603684.54,540912169.82,1803442212.51,1255615805.39,757507156.13,356401030.82,1290937211.93,867447685.48,542132003.56,247220446.87,973613923.61,715575794.50,908894185.16,724723602.66,675854274.91,542335646.37,0.0
7,支付给职工以及为职工支付的现金,295652123.76,183802027.39,79566671.70,320255510.21,234030805.28,156396806.46,93997060.33,243982770.67,165213571.00,106890138.24,52761919.54,179649376.32,129348902.04,88123725.40,45831453.57,137345616.19,97999325.38,112412425.41,88620750.87,78473513.07,35686424.63,0.0
8,支付的各项税费,68777620.31,49719993.94,25363633.07,67264293.11,80570003.09,18828630.82,26675119.48,62980394.11,64991190.97,47153088.59,23819611.18,61328864.28,53308650.85,45257110.09,22327364.59,47048801.48,26888962.30,35156612.28,37301135.07,34944367.16,14567676.93,0.0
9,支付的其他与经营活动有关的现金,309359994.54,238986447.09,91976508.23,441535225.31,347207413.02,232891407.66,96972598.88,300886729.01,212114761.36,128975801.48,59806052.92,227024422.53,142522557.56,90273159.83,63450117.81,158939045.61,133375668.63,119085988.35,83108770.10,71286270.60,64358350.58,0.0
10,经营活动现金流出小计,2676497127.63,1580558599.86,849662316.08,3033979361.96,2275644624.36,1416720529.48,758556948.51,2411292106.30,1697935328.72,1040526184.44,492788614.46,1758939875.06,1192627795.93,765785998.88,378829382.84,1316947386.89,973839750.81,1175549211.20,933754258.70,860558425.74,656948098.51,0.0
11,经营活动产生的现金流量净额,146615248.99,171454616.57,120658185.58,175035816.80,43109774.59,-4338657.57,-9640744.83,58817413.57,58975528.05,30629675.98,23831440.56,149698733.41,159387206.00,110043375.58,43048682.76,167182990.05,88736495.84,114194886.17,91340771.74,147328050.47,19985127.14,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,670000000.00,370000000.00,370000000.00,370000000.00,355500000.00,500000.00,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,0,0,0,2473428.73,0,0,0,6377326.36,4894216.03,1929461.25,1499508.20,474149.30,21084.89,10184.87,0,0,64197.01,0,786861.93,18450.00,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,2856240.38,1824814.08,891357.13,2345198.24,5487665.30,1726844.91,457713.63,212000.00,356837.60,352136.75,0,773263.90,271328.67,309539.21,50000.00,22769.65,20369.08,0,43700.00,7429945.09,363236.84,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,20662237.49,19144258.05,6882354.83,0,0,0,0,4350000.00,0,0,0,7171321.97,3000000.00,3000000.00,0,2842659.76,2842659.76,0,13000353.40,0,0,0.0
18,投资活动现金流入小计,23518477.87,20969072.13,7773711.96,4818626.97,5487665.30,1726844.91,457713.63,680939326.36,375251053.63,372281598.00,371499508.20,363918735.17,3792413.56,3319724.08,50000.00,2865429.41,2927225.85,0.00,13830915.33,7448395.09,363236.84,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,544277364.30,314149202.46,96206816.89,418626835.30,207905899.47,156383314.70,67157381.09,190103913.34,153621728.39,95284238.12,56699496.41,108484463.13,115226136.77,70427912.34,29138060.50,191487250.87,110517979.66,95798836.11,55701766.53,103631117.03,59178050.88,0.0
