,报表日期,20191231,20190630,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,
1,一、营业总收入,736991200.21,383735590.66,558742657.58,472716636.00,326890170.62,0.0
2,营业收入,736991200.21,383735590.66,558742657.58,472716636.00,326890170.62,0.0
3,二、营业总成本,573107958.75,298885535.68,447673247.94,416101983.21,257380188.73,0.0
4,营业成本,476219319.08,250042493.67,385180963.81,331470401.90,222464058.68,0.0
5,营业税金及附加,5885470.66,3444508.13,1799377.16,1156467.47,538614.27,0.0
6,销售费用,38169933.28,19325516.41,20074043.83,14964649.72,12565135.76,0.0
7,管理费用,22291630.09,10469886.85,17513670.01,40886579.19,10694235.48,0.0
8,财务费用,4244874.90,3152215.72,3290212.75,10173195.17,275683.94,0.0
9,研发费用,26296730.74,12450914.90,19814980.38,17450689.76,10842460.60,0.0
10,资产减值损失,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0.0
12,投资收益,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0.0
15,三、营业利润,164862238.92,84289127.39,113386811.99,55234922.80,70033710.43,0.0
16,加:营业外收入,1248761.66,935704.36,761984.50,289926.44,500541.91,0.0
17,减：营业外支出,60840.43,0,16872.93,632926.87,43713.89,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0.0
19,四、利润总额,166050160.15,85224831.75,114131923.56,54891922.37,70490538.45,0.0
20,减：所得税费用,21629320.65,10817653.05,15690827.82,11535094.48,11069062.88,0.0
21,五、净利润,144420839.50,74407178.70,98441095.74,43356827.89,59421475.57,0.0
22,归属于母公司所有者的净利润,144420839.50,74407178.70,98441095.74,43356827.89,59421475.57,0.0
23,少数股东损益,0,0,0,0,0,0.0
24,六、每股收益,,,,,,
25,基本每股收益(元/股),1.810000,0.930000,1.230000,0.600000,0,0.0
26,稀释每股收益(元/股),1.810000,0.930000,1.230000,0.600000,0,0.0
27,七、其他综合收益,210892.45,56358.26,308326.15,-350446.01,241578.98,0.0
28,八、综合收益总额,144631731.95,74463536.96,98749421.89,43006381.88,59663054.55,0.0
29,归属于母公司所有者的综合收益总额,144631731.95,74463536.96,98749421.89,43006381.88,59663054.55,0.0
30,归属于少数股东的综合收益总额,0,0,0,0,0,0.0
