,报表日期,20190930,20190630,20190331,20181231,20180930,20171231,20161231,19700101
0,单位,元,元,元,元,元,元,元,
1,一、营业总收入,700000.00,0.00,0.00,0.00,0,2008900.00,2763660.38,0.0
2,营业收入,700000.00,0.00,0.00,0.00,0,2008900.00,2763660.38,0.0
3,二、营业总成本,0,720408278.69,533472893.15,568627734.97,0,250112686.48,145326354.23,0.0
4,营业成本,0,0.00,0.00,0.00,0,722666.67,1921666.66,0.0
5,营业税金及附加,0,760062.51,432302.13,731197.73,0,752488.83,723548.44,0.0
6,销售费用,0,2025283.43,444086.16,0,0,0,0,0.0
7,管理费用,0,366726084.33,358014988.84,26179338.12,0,11838875.33,12245270.88,0.0
8,财务费用,0,-1084071.67,98495.65,27828.17,0,290950.27,-1067079.42,0.0
9,研发费用,0,351980920.09,174497429.89,541689370.95,0,236507705.38,131502947.67,0.0
10,资产减值损失,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0.0
12,投资收益,0,0,0,0,0,4363225.78,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0.0
15,三、营业利润,-883918500.00,-714910970.14,-531637565.76,-553326894.75,-362642400.00,-235507063.63,-141949678.71,0.0
16,加:营业外收入,0,6994.37,0.20,345314.89,0,0,5416418.30,0.0
17,减：营业外支出,0,196718.62,12000.00,129661.12,0,2472.49,50815.96,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0.0
19,四、利润总额,-884098000.00,-715100694.39,-531649565.56,-553111240.98,-362645100.00,-235509536.12,-136584076.37,0.0
20,减：所得税费用,0,0,0,0,0,0,0,0.0
21,五、净利润,-884098000.00,-715100694.39,-531649565.56,-553111240.98,-362645100.00,-235509536.12,-136584076.37,0.0
22,归属于母公司所有者的净利润,-884098000.00,-715100694.39,-531649565.56,-553111240.98,-362645100.00,-235509536.12,-136584076.37,0.0
23,少数股东损益,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,
25,基本每股收益(元/股),0,-2.120000,-1.660000,0,0,0,0,0.0
26,稀释每股收益(元/股),0,-2.120000,-1.660000,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,0,-715100694.39,-531649565.56,-553111240.98,0,-235509536.12,-136584076.37,0.0
29,归属于母公司所有者的综合收益总额,0,-715100694.39,-531649565.56,-553111240.98,0,-235509536.12,-136584076.37,0.0
30,归属于少数股东的综合收益总额,0,0,0,0,0,0,0,0.0
