,报表日期,20191231,20190630,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,
1,一、营业总收入,3161320025.23,1566252805.52,3332421721.68,2778844082.02,1974532041.35,0.0
2,营业收入,3161320025.23,1566252805.52,3332421721.68,2778844082.02,1974532041.35,0.0
3,二、营业总成本,2899021309.84,1466473358.42,3130025339.47,2618758542.03,1787698103.77,0.0
4,营业成本,2638217507.78,1351705077.58,2929077291.71,2456277794.72,1644810253.92,0.0
5,营业税金及附加,10774434.35,3822342.34,7760366.33,9842604.07,9536103.91,0.0
6,销售费用,71878639.47,37618973.85,53633096.44,45154268.68,32545038.09,0.0
7,管理费用,58544805.14,17005784.98,32548275.04,21340200.50,27464510.29,0.0
8,财务费用,776782.58,1369464.30,-17564.92,2692041.71,1550433.32,0.0
9,研发费用,118829140.52,54951715.37,107023874.87,83451632.35,71791764.24,0.0
10,资产减值损失,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0.0
12,投资收益,7091305.91,2912552.64,2685689.88,1805616.56,750221.93,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0.0
15,三、营业利润,276378100.82,102170795.50,201342457.86,169985311.13,187109422.69,0.0
16,加:营业外收入,520179.50,221093.38,593495.95,245719.63,1336583.17,0.0
17,减：营业外支出,1629157.99,0,482863.30,687745.61,1986157.59,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0.0
19,四、利润总额,275269122.33,102391888.88,201453090.51,169543285.15,186459848.27,0.0
20,减：所得税费用,36262823.79,11638807.72,24299127.71,22620348.20,25246934.93,0.0
21,五、净利润,239006298.54,90753081.16,177153962.80,146922936.95,161212913.34,0.0
22,归属于母公司所有者的净利润,242625642.83,90791966.75,177337311.93,146922936.95,161212913.34,0.0
23,少数股东损益,-3619344.29,-38885.59,-183349.13,0,0,0.0
24,六、每股收益,,,,,,
25,基本每股收益(元/股),2.850000,1.070000,2.090000,1.880000,2.150000,0.0
26,稀释每股收益(元/股),2.850000,1.070000,2.090000,1.880000,2.150000,0.0
27,七、其他综合收益,0,0,0,0,0,0.0
28,八、综合收益总额,239006298.54,90753081.16,177153962.80,146922936.95,161212913.34,0.0
29,归属于母公司所有者的综合收益总额,242625642.83,90791966.75,177337311.93,146922936.95,161212913.34,0.0
30,归属于少数股东的综合收益总额,-3619344.29,-38885.59,-183349.13,0,0,0.0
