,报表日期,20191231,20190630,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,
1,一、营业总收入,1686950304.56,740339250.41,1225990156.99,1009777879.17,851618394.31,0.0
2,营业收入,1686950304.56,740339250.41,1225990156.99,1009777879.17,851618394.31,0.0
3,二、营业总成本,1500870051.18,672219392.77,1147053991.13,958279554.81,807589382.27,0.0
4,营业成本,1233676990.33,554046585.88,952440530.59,808613179.34,673148389.07,0.0
5,营业税金及附加,13066738.50,4130888.99,7422266.82,6128737.48,4801978.52,0.0
6,销售费用,42187122.56,18941663.19,32901298.12,27205519.83,26150174.25,0.0
7,管理费用,81972404.36,39554506.62,71539675.30,63646031.32,59113626.67,0.0
8,财务费用,6091168.14,2617240.71,4363736.85,2213577.66,2802092.95,0.0
9,研发费用,123875627.29,52928507.38,78386483.45,50472509.18,41573120.81,0.0
10,资产减值损失,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0.0
12,投资收益,187304.28,68594.51,188637.13,415173.41,960492.30,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0.0
15,三、营业利润,190136910.38,55545988.11,84271870.80,52797450.88,41954943.72,0.0
16,加:营业外收入,28109.59,27609.50,128758.40,44883.65,9820564.24,0.0
17,减：营业外支出,132104.71,106501.87,363421.72,98503.29,243895.63,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0.0
19,四、利润总额,190032915.26,55467095.74,84037207.48,52743831.24,51531612.33,0.0
20,减：所得税费用,15334565.60,3041399.94,6008051.96,4328868.84,5260504.72,0.0
21,五、净利润,174698349.66,52425695.80,78029155.52,48414962.40,46271107.61,0.0
22,归属于母公司所有者的净利润,174698349.66,52425695.80,78029155.52,48414962.40,46271107.61,0.0
23,少数股东损益,0,0,0,0,0,0.0
24,六、每股收益,,,,,,
25,基本每股收益(元/股),1.450000,0.440000,0.650000,0.400000,0.380000,0.0
26,稀释每股收益(元/股),1.450000,0.440000,0.650000,0.400000,0.380000,0.0
27,七、其他综合收益,0,0,0,0,0,0.0
28,八、综合收益总额,174698349.66,52425695.80,78029155.52,48414962.40,46271107.61,0.0
29,归属于母公司所有者的综合收益总额,174698349.66,52425695.80,78029155.52,48414962.40,46271107.61,0.0
30,归属于少数股东的综合收益总额,0,0,0,0,0,0.0
