,报表日期,20190930,20190630,20190331,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,元,
1,流动资产,,,,,,,
2,货币资金,0,88892720.20,122577713.08,128932307.64,9884526.93,17025414.09,0.0
3,交易性金融资产,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0.0
5,应收票据及应收账款,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0.0
7,应收账款,0,0,0,0,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0.0
9,预付款项,0,12471637.68,12101206.50,15011792.50,7591692.07,8677766.33,0.0
10,其他应收款(合计),0,3038365.19,650521.85,577424.96,679667.91,1055140.27,0.0
11,应收利息,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0.0
13,其他应收款,0,3038365.19,650521.85,577424.96,679667.91,1055140.27,0.0
14,买入返售金融资产,0,0,0,0,0,0,0.0
15,存货,0,2947438.79,3330140.20,2553428.04,479904.13,165606.80,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0.0
20,其他流动资产,0,47000000.00,61000000.00,82600000.00,53000000.00,54000000.00,0.0
21,流动资产合计,116727500.00,154350161.86,199659581.63,229674953.14,71635791.04,80923927.49,0.0
22,非流动资产,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0,0.0
29,在建工程(合计),0,0,0,0,0,31071606.82,0.0
30,在建工程,0,0,0,0,0,31071606.82,0.0
31,工程物资,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),0,57952016.85,56364468.12,56983270.60,46814802.55,4388519.51,0.0
33,固定资产净额,0,57952016.85,56364468.12,56983270.60,46814802.55,4388519.51,0.0
34,固定资产清理,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0.0
