,报表日期,20190930,20190630,20181231,20180630,20171231,20161231,20151231,19700101
0,单位,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,
2,货币资金,52925678.53,40545952.14,38392003.26,26869147.86,46141696.38,61712862.70,55778025.00,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,124760897.32,113842403.11,106025677.24,123488295.55,108879560.34,123113829.61,108091104.43,0.0
6,应收票据,25070065.05,18759749.62,20993348.89,0,17569320.10,8571582.03,0,0.0
7,应收账款,99690832.27,95082653.49,85032328.35,0,91310240.24,114542247.58,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0.0
9,预付款项,6929395.30,5021796.44,6295449.21,6774101.93,5447241.91,10099508.89,15514055.78,0.0
10,其他应收款(合计),11052186.94,8736939.23,9921279.07,7609260.44,4124513.80,9655816.72,0,0.0
11,应收利息,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0.0
13,其他应收款,11052186.94,0,0,7609260.44,0,0,65565278.14,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0.0
15,存货,20657926.67,19473569.34,20097298.61,20706232.97,21286005.04,19709255.75,19818108.31,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,9920400.00,6853260.00,68000.00,4170100.00,6931260.00,0,1345000.00,0.0
18,待摊费用,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0.0
20,其他流动资产,31304376.64,29643435.26,27541710.22,22292404.85,22898505.63,18605159.76,8369553.23,0.0
21,流动资产合计,257550861.40,224117355.52,208341417.61,211909543.60,215708783.10,242896433.43,274481124.89,0.0
22,非流动资产,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0.0
