,报表日期,20190930,20190630,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,
1,流动资产,,,,,,
2,货币资金,425590906.74,435027378.99,586345073.84,244960196.51,71422776.95,0.0
3,交易性金融资产,22930000.00,23130000.00,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0.0
5,应收票据及应收账款,101447770.70,95297113.75,85028099.21,74717863.10,63021313.43,0.0
6,应收票据,3030683.75,2786655.00,3860523.77,1981592.00,1488146.38,0.0
7,应收账款,98417086.95,92510458.75,81167575.44,72736271.10,61533167.05,0.0
8,应收款项融资,0,0,0,0,0,0.0
9,预付款项,29618661.05,16311967.21,7153261.74,7479081.67,2919618.12,0.0
10,其他应收款(合计),17125109.26,11705239.83,11078346.95,10339186.57,9322619.00,0.0
11,应收利息,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0.0
13,其他应收款,0,11705239.83,11078346.95,10339186.57,9322619.00,0.0
14,买入返售金融资产,0,0,0,0,0,0.0
15,存货,7065520.19,7483381.21,5550348.97,3377272.38,4128221.27,0.0
16,划分为持有待售的资产,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0.0
20,其他流动资产,4291474.47,1454687.57,14180000.00,249997956.18,160086215.91,0.0
21,流动资产合计,608069442.41,590409768.56,709335130.71,590871556.41,310900764.68,0.0
22,非流动资产,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,13000000.00,13000000.00,19000000.00,0.0
25,持有至到期投资,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,426964.15,874536.60,0.0
28,投资性房地产,16590692.25,16750731.06,17070808.68,17710963.92,18351119.18,0.0
29,在建工程(合计),0,0,0,0,0,0.0
30,在建工程,0,0,0,0,0,0.0
31,工程物资,0,0,0,0,0,0.0
32,固定资产及清理(合计),16560135.21,16832899.08,15954604.19,14514253.73,15585627.30,0.0
33,固定资产净额,0,16832899.08,15954604.19,14514253.73,15585627.30,0.0
34,固定资产清理,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0.0
39,无形资产,106351.16,123143.48,156728.12,223897.40,298529.91,0.0
40,开发支出,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0.0
42,长期待摊费用,3252996.41,3587129.51,2726706.74,750911.01,1151514.96,0.0
43,递延所得税资产,1728951.48,1721251.46,1359968.81,1017247.50,724773.12,0.0
44,其他非流动资产,0,0,0,0,0,0.0
45,非流动资产合计,78520086.51,79296114.59,50268816.54,47644237.71,55986101.07,0.0
46,资产总计,686589528.92,669705883.15,759603947.25,638515794.12,366886865.75,0.0
47,流动负债,,,,,,
48,短期借款,0,0,0,0,0,0.0
49,交易性金融负债,0,0,0,0,0,0.0
50,应付票据及应付账款,54198152.86,44412355.14,49237598.84,38252948.53,34879307.62,0.0
51,应付票据,0,0,0,0,0,0.0
52,应付账款,54198152.86,44412355.14,49237598.84,38252948.53,34879307.62,0.0
53,预收款项,235692780.73,237442663.30,270305078.91,255784452.10,184811127.15,0.0
54,应付手续费及佣金,0,0,0,0,0,0.0
55,应付职工薪酬,22720351.97,27897082.83,98071143.20,65749720.41,52408280.00,0.0
56,应交税费,10339598.94,8320179.46,19528434.15,15082624.84,24304644.08,0.0
57,其他应付款(合计),5907399.11,7197607.87,10371884.05,6257378.46,6118643.98,0.0
58,应付利息,0,0,0,0,0,0.0
59,应付股利,0,0,0,0,0,0.0
60,其他应付款,0,7197607.87,10371884.05,6257378.46,6118643.98,0.0
61,预提费用,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0.0
65,其他流动负债,0,0,0,0,0,0.0
66,流动负债合计,328858283.61,325269888.60,447514139.15,381127124.34,302522002.83,0.0
67,非流动负债,,,,,,
68,长期借款,0,0,0,0,0,0.0
69,应付债券,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0.0
76,递延所得税负债,2728096.00,2728096.00,0,0,0,0.0
77,长期递延收益,0,0,0,0,0,0.0
78,其他非流动负债,0,0,0,0,0,0.0
79,非流动负债合计,2728096.00,2728096.00,0.00,0.00,0.00,0.0
80,负债合计,331586379.61,327997984.60,447514139.15,381127124.34,302522002.83,0.0
81,所有者权益,,,,,,
82,实收资本(或股本),57739583.00,57739583.00,57739583.00,57739583.00,50000000.00,0.0
83,资本公积,146781337.93,146781337.93,146781337.93,146968497.16,6108080.16,0.0
84,减：库存股,0,0,0,0,0,0.0
85,其他综合收益,24552864.00,24552864.00,0,0,0,0.0
86,专项储备,0,0,0,0,0,0.0
87,盈余公积,13305098.70,13305098.70,13305098.70,6559257.76,1969582.28,0.0
88,一般风险准备,0,0,0,0,0,0.0
89,未分配利润,106687435.67,94403554.86,90480409.17,45198327.56,5127770.68,0.0
90,归属于母公司股东权益合计,349066319.30,336782438.49,308306428.80,256465665.48,63205433.12,0.0
91,少数股东权益,5936830.01,4925460.06,3783379.30,923004.30,1159429.80,0.0
92,所有者权益(或股东权益)合计,355003149.31,341707898.55,312089808.10,257388669.78,64364862.92,0.0
93,负债和所有者权益(或股东权益)总计,686589528.92,669705883.15,759603947.25,638515794.12,366886865.75,0.0
