,报表日期,20190930,20190630,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,
1,流动资产,,,,,,
2,货币资金,0,84225611.46,57083638.68,44394964.94,37911832.82,0.0
3,交易性金融资产,0,20675547.40,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0.0
5,应收票据及应收账款,0,118265212.21,131027810.85,112139557.15,107204505.07,0.0
6,应收票据,0,200000.00,5550000.00,5973478.35,6656743.00,0.0
7,应收账款,0,118065212.21,125477810.85,106166078.80,100547762.07,0.0
8,应收款项融资,0,0,0,0,0,0.0
9,预付款项,0,15175712.49,8825648.84,7316944.44,2537186.78,0.0
10,其他应收款(合计),0,6744079.98,12490076.05,4343150.96,7453780.85,0.0
11,应收利息,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0.0
13,其他应收款,0,6744079.98,0,0,0,0.0
14,买入返售金融资产,0,0,0,0,0,0.0
15,存货,0,24897992.49,15767063.08,9206519.82,5665011.77,0.0
16,划分为持有待售的资产,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,7075297.47,7530451.33,8825897.35,7871772.21,0.0
18,待摊费用,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0.0
20,其他流动资产,0,2923613.03,23066806.15,10072886.62,424165.81,0.0
21,流动资产合计,0,279983066.53,255791494.98,196299921.28,169068255.31,0.0
22,非流动资产,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,221824.00,999624.00,2400000.00,0.0
25,持有至到期投资,0,0,0,0,0,0.0
26,长期应收款,0,2833488.34,3252508.60,10859033.47,14337013.58,0.0
27,长期股权投资,0,3978099.08,0,0,0,0.0
28,投资性房地产,0,27670358.41,28073113.21,31752418.20,29053935.10,0.0
29,在建工程(合计),0,0,0,0,0,0.0
30,在建工程,0,0,0,0,0,0.0
31,工程物资,0,0,0,0,0,0.0
32,固定资产及清理(合计),0,55982544.15,58110489.71,53698061.54,58250723.00,0.0
33,固定资产净额,0,55982544.15,0,0,0,0.0
34,固定资产清理,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0.0
39,无形资产,0,1257729.25,1303117.06,1402558.54,1502000.02,0.0
40,开发支出,0,0,0,0,0,0.0
41,商誉,0,1179163.08,1179163.08,1179163.08,1225457.20,0.0
42,长期待摊费用,0,5171766.25,5736540.61,781799.92,201105.17,0.0
43,递延所得税资产,0,3395052.52,3162319.09,2751147.30,3794646.39,0.0
44,其他非流动资产,0,4577088.70,1662974.75,254250.00,5289508.66,0.0
45,非流动资产合计,0,106267113.78,102702050.11,103678056.05,116054389.12,0.0
46,资产总计,399380300.00,386250180.31,358493545.09,299977977.33,285122644.43,0.0
47,流动负债,,,,,,
48,短期借款,0,40000000.00,30000000.00,20000000.00,40500000.00,0.0
49,交易性金融负债,0,0,0,0,0,0.0
50,应付票据及应付账款,0,9778038.69,9701083.69,12525492.86,12591651.17,0.0
51,应付票据,0,0,0,0,0,0.0
52,应付账款,0,9778038.69,9701083.69,12525492.86,12591651.17,0.0
53,预收款项,0,6826980.22,5694879.53,5363816.69,3410801.05,0.0
54,应付手续费及佣金,0,0,0,0,0,0.0
55,应付职工薪酬,0,4638884.24,4878153.61,5222303.47,2117739.18,0.0
56,应交税费,0,1366627.60,5056524.08,1895246.82,2033465.12,0.0
57,其他应付款(合计),0,618469.17,364578.08,354909.11,487848.41,0.0
58,应付利息,0,0,0,0,0,0.0
59,应付股利,0,0,0,0,0,0.0
60,其他应付款,0,618469.17,0,0,0,0.0
61,预提费用,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0.0
65,其他流动负债,0,62837.96,0,459497.42,490704.42,0.0
66,流动负债合计,0,63291837.88,55695218.99,45821266.37,61632209.35,0.0
67,非流动负债,,,,,,
68,长期借款,0,0,0,0,0,0.0
69,应付债券,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0.0
72,长期应付款(合计),0,1861400.00,1861400.00,1861400.00,1861400.00,0.0
73,长期应付款,0,0,0,0,0,0.0
74,专项应付款,0,1861400.00,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0.0
76,递延所得税负债,0,0,0,0,0,0.0
77,长期递延收益,0,10591489.33,6659574.45,9595744.67,12002748.23,0.0
78,其他非流动负债,0,0,0,0,0,0.0
79,非流动负债合计,0,12452889.33,8520974.45,11457144.67,13864148.23,0.0
80,负债合计,78373800.00,75744727.21,64216193.44,57278411.04,75496357.58,0.0
81,所有者权益,,,,,,
82,实收资本(或股本),0,65217391.00,65217391.00,65217391.00,65217391.00,0.0
83,资本公积,0,68851745.74,61328879.13,61328879.13,61328879.13,0.0
84,减：库存股,0,0,0,0,0,0.0
85,其他综合收益,0,0,0,0,0,0.0
86,专项储备,0,0,0,0,0,0.0
87,盈余公积,0,15487695.29,15486737.69,11261131.35,8675066.10,0.0
88,一般风险准备,0,0,0,0,0,0.0
89,未分配利润,0,160948621.07,152244343.83,104892164.81,74404950.62,0.0
90,归属于母公司股东权益合计,321006500.00,310505453.10,294277351.65,242699566.29,209626286.85,0.0
91,少数股东权益,0,0,0,0,0,0.0
92,所有者权益(或股东权益)合计,321006500.00,310505453.10,294277351.65,242699566.29,209626286.85,0.0
93,负债和所有者权益(或股东权益)总计,399380300.00,386250180.31,358493545.09,299977977.33,285122644.43,0.0
