,报表日期,20190930,20190630,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,
1,流动资产,,,,,,
2,货币资金,179356796.28,198632258.89,212139681.14,21724233.89,12404568.69,0.0
3,交易性金融资产,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0.0
5,应收票据及应收账款,27040799.84,26970696.09,20311003.66,12131599.64,8132088.36,0.0
6,应收票据,1019000.00,1116500.00,2256500.00,1849000.00,0,0.0
7,应收账款,26021799.84,25854196.09,18054503.66,10282599.64,8132088.36,0.0
8,应收款项融资,0,0,0,0,0,0.0
9,预付款项,3178306.48,1374242.42,1646756.77,1023130.48,3793096.88,0.0
10,其他应收款(合计),3865653.56,6854627.36,5452235.02,1577861.40,5909075.37,0.0
11,应收利息,0,0,1742876.71,0,0,0.0
12,应收股利,0,0,0,0,0,0.0
13,其他应收款,0,6854627.36,3709358.31,1577861.40,5909075.37,0.0
14,买入返售金融资产,0,0,0,0,0,0.0
15,存货,23559269.46,16650417.18,14020748.34,17935753.69,15407955.22,0.0
16,划分为持有待售的资产,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0.0
20,其他流动资产,4510551.09,4102173.06,69578.77,196411133.04,197969144.71,0.0
21,流动资产合计,241511376.71,254584415.00,253640003.70,250803712.14,243615929.23,0.0
22,非流动资产,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0.0
29,在建工程(合计),101166805.65,59300977.25,7174999.27,180000.00,0,0.0
30,在建工程,0,59300977.25,7174999.27,180000.00,0,0.0
31,工程物资,0,0,0,0,0,0.0
32,固定资产及清理(合计),55731102.17,55113032.36,52692640.46,46195910.92,30448457.95,0.0
33,固定资产净额,0,55113032.36,52692640.46,46195910.92,30448457.95,0.0
34,固定资产清理,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0.0
39,无形资产,25375465.80,25295542.79,25627667.79,2387917.84,2869604.28,0.0
40,开发支出,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0.0
42,长期待摊费用,5769285.98,6485625.11,7918546.02,10352077.36,7654301.48,0.0
43,递延所得税资产,3722930.58,2831418.98,2731108.95,572919.37,682302.70,0.0
44,其他非流动资产,11560533.00,13922708.88,45779088.00,151500.00,718600.00,0.0
45,非流动资产合计,203326123.18,162949305.37,141924050.49,59840325.49,42373266.41,0.0
46,资产总计,444837499.89,417533720.37,395564054.19,310644037.63,285989195.64,0.0
47,流动负债,,,,,,
48,短期借款,0,0,0,0,0,0.0
49,交易性金融负债,0,0,0,0,0,0.0
50,应付票据及应付账款,9904611.23,9577093.85,9278039.39,7537333.05,4987881.51,0.0
51,应付票据,0,0,0,0,0,0.0
52,应付账款,9904611.23,9577093.85,9278039.39,7537333.05,4987881.51,0.0
53,预收款项,1191054.88,1552572.91,1783858.00,5310625.46,2622008.95,0.0
54,应付手续费及佣金,0,0,0,0,0,0.0
55,应付职工薪酬,14663832.51,13771609.62,16157564.58,13526920.02,6631414.78,0.0
56,应交税费,2169605.59,1021990.23,6077383.56,1437247.64,844006.36,0.0
57,其他应付款(合计),21315042.51,21788570.77,22107911.02,20308212.46,15934836.79,0.0
58,应付利息,0,0,0,0,0,0.0
59,应付股利,0,0,0,0,0,0.0
60,其他应付款,0,21788570.77,22107911.02,20308212.46,15934836.79,0.0
61,预提费用,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0.0
65,其他流动负债,0,0,0,0,0,0.0
66,流动负债合计,49244146.72,47711837.38,55404756.55,48120338.63,31020148.39,0.0
67,非流动负债,,,,,,
68,长期借款,0,0,0,0,0,0.0
69,应付债券,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0.0
76,递延所得税负债,0,0,0,0,0,0.0
77,长期递延收益,21721447.02,15659580.19,16059578.53,2248553.21,3073550.00,0.0
78,其他非流动负债,0,0,0,0,0,0.0
79,非流动负债合计,21721447.02,15659580.19,16059578.53,2248553.21,3073550.00,0.0
80,负债合计,70965593.74,63371417.57,71464335.08,50368891.84,34093698.39,0.0
81,所有者权益,,,,,,
82,实收资本(或股本),43960000.00,43960000.00,43960000.00,43960000.00,43960000.00,0.0
83,资本公积,206410678.06,206410678.06,206410678.06,206410678.06,175856485.20,0.0
84,减：库存股,0,0,0,0,0,0.0
85,其他综合收益,0,0,0,0,0,0.0
86,专项储备,0,0,0,0,0,0.0
87,盈余公积,10914173.15,10914173.15,10914173.15,4461820.23,3318034.75,0.0
88,一般风险准备,0,0,0,0,0,0.0
89,未分配利润,112587054.94,92877451.59,62814867.90,5442647.50,28760977.30,0.0
90,归属于母公司股东权益合计,373871906.15,354162302.80,324099719.11,260275145.79,251895497.25,0.0
91,少数股东权益,0,0,0,0,0,0.0
92,所有者权益(或股东权益)合计,373871906.15,354162302.80,324099719.11,260275145.79,251895497.25,0.0
93,负债和所有者权益(或股东权益)总计,444837499.89,417533720.37,395564054.19,310644037.63,285989195.64,0.0
