,报表日期,20190930,20190630,20181231,20171231,20161231,19700101
0,单位,元,元,元,元,元,
1,流动资产,,,,,,
2,货币资金,0,231986853.00,25872920.00,93156841.00,102065331.00,0.0
3,交易性金融资产,0,753354162.00,428425748.00,30000000.00,0,0.0
4,衍生金融资产,0,0,0,0,0,0.0
5,应收票据及应收账款,0,444668180.00,390109044.00,379601689.00,123774779.00,0.0
6,应收票据,0,0,8394624.00,0,0,0.0
7,应收账款,0,444668180.00,381714420.00,379601689.00,123774779.00,0.0
8,应收款项融资,0,5442097.00,0,0,0,0.0
9,预付款项,0,2912786.00,1506717.00,14651952.00,422157.00,0.0
10,其他应收款(合计),0,52776767.00,55240188.00,9537661.00,763337.00,0.0
11,应收利息,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0.0
13,其他应收款,0,0,0,0,0,0.0
14,买入返售金融资产,0,0,0,0,0,0.0
15,存货,0,310102111.00,277702312.00,52538305.00,22971628.00,0.0
16,划分为持有待售的资产,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0.0
20,其他流动资产,0,18894177.00,16446929.00,0,0,0.0
21,流动资产合计,0,1820137133.00,1195303858.00,579486448.00,249997232.00,0.0
22,非流动资产,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,0,0.0
28,投资性房地产,0,0,0,0,0,0.0
29,在建工程(合计),0,0,0,0,0,0.0
30,在建工程,0,0,0,0,0,0.0
31,工程物资,0,0,0,0,0,0.0
32,固定资产及清理(合计),0,61294860.00,48773159.00,19139216.00,10718279.00,0.0
33,固定资产净额,0,61294860.00,48773159.00,19139216.00,10718279.00,0.0
34,固定资产清理,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0.0
39,无形资产,0,5966260.00,0,0,0,0.0
40,开发支出,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0.0
42,长期待摊费用,0,0,0,0,0,0.0
43,递延所得税资产,0,1793507.00,1122691.00,765736.00,0,0.0
44,其他非流动资产,0,6235619.00,31952245.00,4967824.00,601607.00,0.0
45,非流动资产合计,0,92390246.00,81848095.00,24872776.00,11319886.00,0.0
46,资产总计,1891817300.00,1912527379.00,1277151953.00,604359224.00,261317118.00,0.0
47,流动负债,,,,,,
48,短期借款,0,0,0,0,0,0.0
49,交易性金融负债,0,0,0,0,0,0.0
50,应付票据及应付账款,0,694337228.00,404022296.00,277552980.00,106029392.00,0.0
51,应付票据,0,0,0,0,0,0.0
52,应付账款,0,694337228.00,404022296.00,277552980.00,106029392.00,0.0
53,预收款项,0,14667530.00,500000.00,0,0,0.0
54,应付手续费及佣金,0,0,0,0,0,0.0
55,应付职工薪酬,0,28915398.00,39291560.00,17571688.00,7038661.00,0.0
56,应交税费,0,74420163.00,104010888.00,33574669.00,1228796.00,0.0
57,其他应付款(合计),0,7448628.00,26367946.00,5064702.00,1113104.00,0.0
58,应付利息,0,0,0,0,0,0.0
59,应付股利,0,0,0,0,0,0.0
60,其他应付款,0,0,0,0,0,0.0
61,预提费用,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0.0
65,其他流动负债,0,6288199.00,3572043.00,1198543.00,169804.00,0.0
66,流动负债合计,0,826077146.00,577764733.00,334962582.00,115579757.00,0.0
67,非流动负债,,,,,,
68,长期借款,0,0,0,0,0,0.0
69,应付债券,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0.0
76,递延所得税负债,0,0,0,0,0,0.0
77,长期递延收益,0,0,0,0,0,0.0
78,其他非流动负债,0,0,0,0,0,0.0
79,非流动负债合计,0,0.00,0.00,0.00,0.00,0.0
80,负债合计,601986200.00,826077146.00,577764733.00,334962582.00,115579757.00,0.0
81,所有者权益,,,,,,
82,实收资本(或股本),0,50000000.00,50000000.00,1200000.00,1200000.00,0.0
83,资本公积,0,552999180.00,552980255.00,236970591.00,180307492.00,0.0
84,减：库存股,0,0,0,0,0,0.0
85,其他综合收益,0,2727693.00,352506.00,0,0,0.0
86,专项储备,0,0,0,0,0,0.0
87,盈余公积,0,11325240.00,11410519.00,600000.00,0,0.0
88,一般风险准备,0,0,0,0,0,0.0
89,未分配利润,0,469398120.00,84643940.00,30626051.00,-35770131.00,0.0
90,归属于母公司股东权益合计,1289831100.00,1086450233.00,699387220.00,269396642.00,145737361.00,0.0
91,少数股东权益,0,0,0,0,0,0.0
92,所有者权益(或股东权益)合计,1289831100.00,1086450233.00,699387220.00,269396642.00,145737361.00,0.0
93,负债和所有者权益(或股东权益)总计,1891817300.00,1912527379.00,1277151953.00,604359224.00,261317118.00,0.0
